Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
29,"Ambrose, Patrick",6,5,4,10,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,6.0,4.0,3.0,,6.0,,,99.0
28,"Brown, Mitch",12,5,7,19,,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,4.0,14.0,1.0,,1.0,,,94.0
37,"Clarke, Dylan",6,2,8,14,,,,3.0,,1.0,,3.0,,,,2.0,13.0,,,,,,88.0
20,"Clarke, Zac",7,5,3,10,,1.0,16.0,2.0,,3.0,2.0,3.0,2.0,2.0,,3.0,6.0,,1.0,2.0,,,86.0
13,"Fantasia, Orazio",7,3,4,11,2,,,1.0,,4.0,,1.0,1.0,,,5.0,7.0,,,3.0,,,79.0
10,"Francis, Aaron",8,3,6,14,1,,,2.0,4.0,2.0,,3.0,,1.0,,4.0,8.0,,,6.0,,,75.0
8,"Gleeson, Martin",11,6,6,17,,,,,2.0,1.0,,3.0,,,,5.0,12.0,1.0,,5.0,,,83.0
35,"Guelfi, Matt",8,5,5,13,,2.0,,4.0,3.0,2.0,,2.0,,,,2.0,11.0,,1.0,3.0,,,79.0
36,"Hartley, Michael",12,6,4,16,,,,2.0,3.0,1.0,,3.0,,2.0,,5.0,10.0,2.0,,16.0,,,100.0
26,"Hooker, Cale",9,5,4,13,,,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,,4.0,9.0,1.0,1.0,4.0,,,93.0
4,"Langford, Kyle",7,3,8,15,,,,1.0,,2.0,1.0,3.0,2.0,1.0,,9.0,6.0,2.0,,1.0,1.0,,75.0
43,"McDonald-Tipungwuti, Anthony",5,2,5,10,,2.0,,2.0,,3.0,1.0,3.0,1.0,2.0,,6.0,4.0,1.0,1.0,1.0,,1.0,90.0
1,"McGrath, Andrew",8,3,12,20,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,4.0,16.0,,,2.0,1.0,1.0,87.0
45,"McKenna, Conor",17,3,4,21,,,,2.0,3.0,5.0,2.0,3.0,1.0,,,5.0,8.0,1.0,,1.0,3.0,,84.0
7,"Merrett, Zach",17,5,14,31,1,,,4.0,3.0,5.0,7.0,6.0,3.0,1.0,1.0,12.0,18.0,,,2.0,1.0,1.0,77.0
3,"Parish, Darcy",2,1,5,7,,,,,,3.0,,2.0,,,,5.0,2.0,,,,,,23.0
27,"Redman, Mason",14,1,5,19,,,,,5.0,1.0,1.0,3.0,,1.0,,7.0,9.0,,,2.0,3.0,,84.0
42,"Saad, Adam",9,1,2,11,,,,3.0,5.0,3.0,2.0,2.0,,2.0,,1.0,8.0,,,4.0,2.0,,66.0
9,"Shiel, Dylan",10,3,19,29,1,1.0,,1.0,1.0,4.0,6.0,3.0,2.0,1.0,,11.0,18.0,,,,5.0,1.0,84.0
40,"Snelling, Will",7,3,14,21,2,,,5.0,,3.0,1.0,,3.0,,,13.0,8.0,,,,,1.0,87.0
25,"Stringer, Jake",11,3,3,14,2,2.0,,6.0,1.0,3.0,4.0,2.0,1.0,,,7.0,8.0,,3.0,2.0,,,85.0
11,"Zaharakis, David",7,3,12,19,,,,1.0,2.0,3.0,,1.0,2.0,,,5.0,14.0,,,,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,76,154,354,9,13.0,19.0,43.0,38.0,52.0,31.0,52.0,22.0,15.0,1.0,125.0,213.0,12.0,7.0,61.0,16.0,5.0,
Opposition,Opposition,255,117,155,410,19,12.0,45.0,43.0,41.0,58.0,42.0,41.0,15.0,22.0,5.0,137.0,255.0,9.0,15.0,51.0,6.0,14.0,
