Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details,Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Sydney Games (W-D-L W%),Sydney Goals (Ave.)
36,"Aliir, Aliir",21y 330d,6 (5-0-1 83.33%),,←,
7,"Cunningham, Harry",22y 238d,66 (47-0-19 71.21%),36 (0.55),←,
23,"Franklin, Lance",29y 183d,239 (152-1-86 63.81%),765 (3.20),57 (43-0-14 75.44%),185 (3.25)
39,"Grundy, Heath",30y 59d,205 (129-2-74 63.41%),23 (0.11),←,
4,"Hannebery, Dan",25y 158d,162 (106-2-54 66.05%),77 (0.48),←,
5,"Heeney, Isaac",20y 87d,30 (21-0-9 70.00%),37 (1.23),←,
29,"Hewett, George",20y 215d,16 (13-0-3 81.25%),12 (0.75),←,
15,"Jack, Kieren",29y 33d,203 (127-3-73 63.30%),140 (0.69),←,
12,"Kennedy, Josh",28y 41d,175 (114-2-59 65.71%),106 (0.61),162 (109-2-51 67.90%),102 (0.63)
44,"Lloyd, Jake",22y 315d,61 (45-0-16 73.77%),16 (0.26),←,
3,"McVeigh, Jarrad",31y 115d,280 (172-4-104 62.14%),189 (0.68),←,
14,"Mills, Callum",19y 120d,17 (12-0-5 70.59%),1 (0.06),←,
6,"Mitchell, Tom",23y 61d,57 (36-0-21 63.16%),33 (0.58),←,
35,"Naismith, Sam",24y 15d,5 (3-0-2 60.00%),1 (0.20),←,
13,"Nankervis, Toby",21y 354d,9 (4-0-5 44.44%),2 (0.22),←,
41,"Papley, Tom",20y 18d,12 (9-0-3 75.00%),15 (1.25),←,
26,"Parker, Luke",23y 280d,119 (81-1-37 68.49%),95 (0.80),←,
24,"Rampe, Dane",26y 59d,90 (62-1-27 69.44%),5 (0.06),←,
42,"Richards, Xavier",23y 97d,4 (3-0-1 75.00%),4 (1.00),←,
16,"Rohan, Gary",25y 54d,71 (45-1-25 64.08%),55 (0.77),←,
40,"Smith, Nick",28y 49d,159 (101-2-56 64.15%),9 (0.06),←,
22,"Towers, Dean",26y 88d,27 (18-0-9 66.67%),17 (0.63),←,
Totals,Totals,24y 251d,2013 (1305-19-689 64.83%),1638 (0.81),,
C,"Longmire, John",45y 213d,141 (96-2-43 68.79%),,←,
