Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ablett, Gary",14,3,21,35,,1.0,,8.0,3.0,3.0,9.0,3.0,1.0,1.0,1.0,12.0,22.0,,1.0,3.0,1.0,,90.0
27,"Cameron, Clay",8,7,10,18,1,,,5.0,5.0,2.0,,1.0,1.0,,,5.0,13.0,,1.0,5.0,,,90.0
39,"Davis, Ryan",9,5,5,14,,2.0,,4.0,2.0,2.0,1.0,3.0,,1.0,,3.0,11.0,,3.0,3.0,,,81.0
12,"Day, Sam",7,5,5,12,1,2.0,2.0,5.0,,3.0,,1.0,1.0,,,5.0,8.0,2.0,3.0,9.0,,1.0,88.0
33,"Hall, Aaron",27,6,13,40,1,2.0,,4.0,3.0,7.0,2.0,5.0,2.0,,3.0,9.0,31.0,,1.0,,,2.0,78.0
5,"Harbrow, Jarrod",12,3,10,22,,,,5.0,6.0,1.0,,1.0,,,,2.0,18.0,,,2.0,1.0,,92.0
28,"Kolodjashnij, Kade",15,12,11,26,,,,1.0,3.0,3.0,1.0,,1.0,,,4.0,24.0,,,5.0,,,92.0
23,"Lemmens, Sean",5,1,6,11,,,,4.0,1.0,1.0,1.0,1.0,,,,5.0,6.0,,,4.0,1.0,1.0,84.0
37,"Lonergan, Jesse",7,1,14,21,,1.0,,4.0,1.0,1.0,2.0,3.0,2.0,2.0,,8.0,13.0,,,2.0,,,81.0
19,"Lynch, Tom",14,10,9,23,4,3.0,,2.0,,3.0,,2.0,1.0,1.0,2.0,8.0,16.0,3.0,6.0,,,2.0,98.0
7,"Malceski, Nick",12,6,12,24,1,,,3.0,3.0,4.0,3.0,2.0,3.0,1.0,,6.0,19.0,,1.0,2.0,1.0,,85.0
4,"Martin, Jack",11,10,8,19,3,,,,,2.0,,2.0,,1.0,,5.0,14.0,,4.0,,,2.0,84.0
32,"Matera, Brandon",14,5,2,16,1,2.0,,,1.0,7.0,1.0,3.0,,1.0,,4.0,12.0,,,1.0,,,90.0
17,"May, Steven",10,4,5,15,,,,2.0,1.0,,,1.0,2.0,1.0,,5.0,10.0,1.0,,11.0,1.0,,94.0
18,"McKenzie, Trent",,,,,,,,1.0,,,,,,,,,,,,1.0,,,10.0
22,"Nicholls, Tom",5,2,9,14,,,17.0,2.0,2.0,2.0,4.0,3.0,,2.0,,9.0,5.0,2.0,,2.0,,,81.0
10,"Prestia, Dion",9,4,15,24,,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,8.0,16.0,,,,,,77.0
35,"Rischitelli, Michael",7,5,14,21,,,,3.0,2.0,4.0,4.0,,,,,9.0,14.0,,,5.0,,1.0,86.0
3,"Rosa, Matt",12,6,12,24,,,,3.0,1.0,4.0,1.0,2.0,1.0,,,7.0,16.0,,1.0,1.0,,,79.0
42,"Saad, Adam",10,7,9,19,,,,4.0,3.0,1.0,,1.0,1.0,,,6.0,15.0,,,1.0,3.0,,89.0
6,"Sexton, Alex",11,5,5,16,1,,,2.0,,7.0,,3.0,2.0,1.0,,3.0,13.0,,2.0,,,1.0,86.0
16,"Thompson, Rory",3,2,3,6,,,,,1.0,1.0,,,,,,2.0,4.0,,,4.0,,,66.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,222,109,198,420,13,17.0,19.0,65.0,41.0,61.0,32.0,40.0,20.0,14.0,6.0,125.0,300.0,8.0,23.0,61.0,8.0,10.0,
Opposition,Opposition,194,82,186,380,5,11.0,38.0,53.0,41.0,49.0,24.0,43.0,14.0,20.0,,125.0,251.0,9.0,5.0,43.0,8.0,3.0,
