North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
3,"Anderson, Jed",26y 181d,70 (36-0-34 51.43%),24 (0.34),60 (29-0-31 48.33%),20 (0.33)
18,"Atley, Shaun",27y 323d,206 (103-0-103 50.00%),44 (0.21),←,
16,"Bonar, Aiden",21y 146d,9 (4-0-5 44.44%),5 (0.56),3 (1-0-2 33.33%),
9,"Davies-Uniacke, Luke",21y 54d,23 (10-0-13 43.48%),7 (0.30),←,
1,"Daw, Majak",29y 143d,51 (21-0-30 41.18%),41 (0.80),←,
14,"Dumont, Trent",25y 32d,91 (36-0-55 39.56%),25 (0.27),←,
22,"Goldstein, Todd",32y 31d,243 (122-1-120 50.41%),124 (0.51),←,
43,"Hall, Aaron",29y 266d,118 (37-1-80 31.78%),86 (0.73),15 (4-0-11 26.67%),10 (0.67)
37,"Hayden, Kyron",21y 55d,9 (3-0-6 33.33%),,←,
4,"Higgins, Shaun",32y 150d,229 (108-1-120 47.38%),223 (0.97),100 (50-0-50 50.00%),95 (0.95)
20,"Larkey, Nick",22y 56d,22 (11-0-11 50.00%),31 (1.41),←,
34,"Macmillan, Jamie",28y 313d,165 (83-0-82 50.30%),46 (0.28),←,
35,"Mahony, Jack",18y 263d,6 (1-0-5 16.67%),2 (0.33),←,
11,"McDonald, Luke",25y 174d,118 (60-0-58 50.85%),16 (0.14),←,
23,"McKay, Ben",22y 221d,7 (2-0-5 28.57%),,←,
17,"Pittard, Jasper",29y 122d,157 (79-0-78 50.32%),16 (0.10),31 (13-0-18 41.94%),5 (0.16)
8,"Scott, Bailey",20y 23d,9 (2-0-7 22.22%),8 (0.89),←,
12,"Simpkin, Jy",22y 149d,65 (28-0-37 43.08%),31 (0.48),←,
25,"Tarrant, Robbie",31y 98d,157 (75-0-82 47.77%),44 (0.28),←,
31,"Taylor, Curtis",20y 117d,11 (3-0-8 27.27%),5 (0.45),←,
19,"Walker, Josh",27y 263d,94 (40-1-53 43.09%),70 (0.74),9 (3-0-6 33.33%),1 (0.11)
44,"Zurhaar, Cameron",22y 71d,36 (16-0-20 44.44%),41 (1.14),←,
Totals,Totals,25y 131d,1896 (880-4-1012 46.41%),889 (0.47),,
C,"Shaw, Rhyce",38y 290d,21 (10-0-11 47.62%),,←,
