Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 78d,284 (166-0-118 58.45%),139 (0.49),←,
16,"Brown, Leigh",24y 107d,140 (55-1-84 39.64%),52 (0.37),77 (36-1-40 47.40%),32 (0.42)
38,"Gibson, Josh",22y 89d,9 (2-0-7 22.22%),,←,
6,"Grant, Shannon",29y 52d,248 (137-2-109 55.65%),283 (1.14),190 (105-1-84 55.53%),245 (1.29)
15,"Green, Kasey",26y 273d,65 (23-1-41 36.15%),16 (0.25),11 (2-0-9 18.18%),8 (0.73)
31,"Hale, David",22y 19d,48 (19-0-29 39.58%),23 (0.48),←,
4,"Harris, Daniel",24y 31d,80 (38-1-41 48.13%),27 (0.34),←,
29,"Harvey, Brent",28y 27d,205 (115-1-89 56.34%),238 (1.16),←,
22,"Jones, Chad",21y 360d,4 (0-0-4 0.00%),1 (0.25),←,
21,"Jones, Corey",25y 104d,92 (41-0-51 44.57%),110 (1.20),←,
35,"Makepeace, Troy",27y 96d,133 (66-1-66 50.00%),35 (0.26),←,
20,"Petrie, Drew",23y 238d,95 (44-1-50 46.84%),72 (0.76),←,
30,"Pratt, Daniel",23y 81d,30 (13-0-17 43.33%),2 (0.07),27 (12-0-15 44.44%),1 (0.04)
3,"Rawlings, Brady",25y,122 (62-0-60 50.82%),49 (0.40),←,
27,"Rawlings, Jade",28y 244d,147 (67-0-80 45.58%),96 (0.65),2 (0-0-2 0.00%),2 (1.00)
32,"Sansbury, Eddie",22y 196d,23 (9-0-14 39.13%),6 (0.26),←,
7,"Simpson, Adam",30y 114d,234 (136-1-97 58.33%),69 (0.29),←,
9,"Sinclair, Jess",27y 288d,150 (56-1-93 37.67%),58 (0.39),100 (43-1-56 43.50%),32 (0.32)
23,"Thompson, Nathan",28y 116d,153 (70-1-82 46.08%),268 (1.75),34 (15-0-19 44.12%),76 (2.24)
12,"Thurley, Cameron",24y 196d,12 (5-0-7 41.67%),12 (1.00),5 (1-0-4 20.00%),
36,"Watt, Shannon",25y 196d,97 (48-1-48 50.00%),5 (0.05),←,
8,"Wells, Daniel",21y 127d,73 (35-1-37 48.63%),43 (0.59),←,
Totals,Totals,25y 254d,2444 (1207-13-1224 49.39%),1604 (0.66),,
C,"Laidley, Dani",39y 75d,78 (36-1-41 46.79%),,←,
