Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",18,1,10,28,,2.0,,2.0,,,,,1.0,,3.0,,,,,,,,
38,"Barrow, Gary",6,1,8,14,,,,2.0,,,,,1.0,,,,,,,,,,
19,"Beveridge, Luke",4,,1,5,,,,1.0,,,,,,3.0,,,,,,,,,
18,"Cameron, Leon",13,1,6,19,,1.0,,1.0,,,,,,2.0,,,,,,,,,
31,"Darcy, Anthony",12,6,9,21,,,,3.0,,,,,1.0,1.0,,,,,,,,,
29,"Grant, Chris",9,5,4,13,4,2.0,,1.0,,,,,,1.0,,,,,,,,,
28,"Grgic, Ilija",14,9,4,18,6,2.0,1.0,1.0,,,,,3.0,1.0,,,,,,,,,
7,"Hawkins, Doug",12,3,4,16,,,,2.0,,,,,,1.0,,,,,,,,,
10,"Hunter, Mark",16,6,2,18,,,,2.0,,,,,,1.0,,,,,,,,,
4,"Kellett, Nigel",16,6,9,25,,,,,,,,,2.0,,,,,,,,,,
35,"Kretiuk, Steven",,,1,1,,,,1.0,,,,,,,,,,,,,,,
39,"Liberatore, Tony",13,1,13,26,1,,,8.0,,,,,7.0,2.0,,,,,,,,,
43,"Nicholson, Brad",12,7,6,18,,,,,,,,,2.0,2.0,,,,,,,,,
22,"Quill, Peter",19,11,9,28,1,,,3.0,,,,,,1.0,,,,,,,,,
34,"Sexton, Ben",12,8,1,13,6,4.0,,,,,,,,1.0,,,,,,,,,
17,"Standfield, Barry",8,1,4,12,,,,1.0,,,,,,4.0,,,,,,,,,
42,"Thorpe, Alan",9,4,3,12,1,2.0,,,,,,,1.0,1.0,,,,,,,,,
8,"Toohey, Bernard",11,5,12,23,,,,1.0,,,,,1.0,2.0,,,,,,,,,
14,"West, Scott",8,2,12,20,1,,,2.0,,,,,1.0,,2.0,,,,,,,,
15,"Wynd, Scott",3,4,10,13,,,16.0,3.0,,,,,3.0,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,215,81,128,343,20,15.0,17.0,34.0,,,,,23.0,25.0,5.0,,,,,,,,
Opposition,Opposition,182,58,91,273,18,15.0,19.0,29.0,,,,,25.0,23.0,1.0,,,,,,,,
