Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
22,"Biddiscombe, Craig",24y 248d,66 (38-1-27 58.33%),11 (0.17),32 (17-0-15 53.13%),5 (0.16)
30,"Bourke, David",25y 138d,74 (39-0-35 52.70%),14 (0.19),←,
11,"Bowden, Joel",22y 340d,89 (46-0-43 51.69%),85 (0.96),←,
15,"Cameron, Leon",28y 267d,200 (107-3-90 54.25%),81 (0.41),28 (14-0-14 50.00%),13 (0.46)
9,"Campbell, Wayne",28y 246d,209 (96-1-112 46.17%),129 (0.62),←,
6,"Chaffey, Mark",24y 21d,67 (31-0-36 46.27%),17 (0.25),←,
24,"Coughlan, Mark",19y 37d,1 (0-0-1 0.00%),,←,
25,"Gale, Brendon",32y 313d,231 (101-1-129 43.94%),208 (0.90),←,
2,"Gaspar, Darren",25y 7d,130 (59-0-71 45.38%),12 (0.09),109 (52-0-57 47.71%),11 (0.10)
20,"Hall, Ray",20y 212d,9 (6-0-3 66.67%),4 (0.44),←,
1,"Hilton, Rory",22y 42d,42 (17-0-25 40.48%),28 (0.67),33 (14-0-19 42.42%),25 (0.76)
16,"Holland, Ben",24y 17d,96 (48-0-48 50.00%),108 (1.13),←,
39,"Kellaway, Andrew",25y 185d,65 (32-0-33 49.23%),14 (0.22),←,
3,"Kellaway, Duncan",28y 99d,151 (76-1-74 50.66%),10 (0.07),←,
33,"Knights, Matthew",30y 234d,247 (103-0-144 41.70%),130 (0.53),←,
27,"Krakouer, Andrew",18y 112d,3 (0-0-3 0.00%),3 (1.00),←,
5,"Ottens, Brad",21y 122d,63 (30-0-33 47.62%),67 (1.06),←,
4,"Rogers, Matthew",27y 183d,144 (77-1-66 53.82%),131 (0.91),←,
19,"Sziller, Steven",28y 163d,127 (58-1-68 46.06%),38 (0.30),9 (5-0-4 55.56%),
32,"Tivendale, Greg",22y 38d,43 (20-0-23 46.51%),28 (0.65),←,
29,"Torney, Jason",23y 345d,80 (41-1-38 51.88%),9 (0.11),←,
36,"Zantuck, Ty",19y 101d,6 (1-0-5 16.67%),1 (0.17),←,
Totals,Totals,24y 257d,2143 (1026-10-1107 47.88%),1128 (0.53),,
C,"Frawley, Danny",37y 261d,31 (16-0-15 51.61%),,←,
