Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",22y 153d,55 (23-1-31 42.73%),29 (0.53),←,
35,"Baxter, Darren",26y 67d,91 (41-2-48 46.15%),15 (0.16),←,
18,"Cameron, Leon",18y 265d,28 (15-0-13 53.57%),14 (0.50),←,
1,"Charles, Justin",20y 239d,18 (9-0-9 50.00%),8 (0.44),←,
20,"Coleman, Glenn",30y 111d,154 (83-1-70 54.22%),87 (0.56),29 (15-0-14 51.72%),23 (0.79)
22,"Cullen, Mark",22y 244d,32 (13-0-19 40.63%),24 (0.75),←,
12,"Eppelstun, Greg",24y 190d,88 (44-1-43 50.57%),1 (0.01),←,
45,"Ford, Michael",28y 226d,89 (44-1-44 50.00%),18 (0.20),←,
32,"Foster, Peter",30y 357d,137 (72-2-63 53.28%),51 (0.37),130 (69-2-59 53.85%),49 (0.38)
19,"Gow, Paul",21y 363d,4 (2-0-2 50.00%),,←,
7,"Hawkins, Doug",31y 20d,252 (101-3-148 40.67%),149 (0.59),←,
43,"Hogg, Matthew",22y 155d,52 (22-1-29 43.27%),4 (0.08),←,
10,"Hunter, Mark",25y 264d,48 (20-1-27 42.71%),2 (0.04),←,
31,"Krakouer, Phil",31y 130d,145 (81-3-61 56.90%),230 (1.59),4 (2-0-2 50.00%),6 (1.50)
39,"Liberatore, Tony",25y 103d,46 (26-0-20 56.52%),30 (0.65),←,
27,"Macpherson, Stephen",26y 174d,127 (59-2-66 47.24%),133 (1.05),←,
33,"Royal, Brian",29y 164d,166 (86-2-78 52.41%),218 (1.31),←,
34,"Sexton, Ben",18y 208d,2 (1-0-1 50.00%),8 (4.00),←,
24,"Wallis, Stephen",26y 210d,176 (89-2-85 51.14%),40 (0.23),←,
15,"Wynd, Scott",21y 120d,44 (19-0-25 43.18%),7 (0.16),←,
Totals,Totals,25y 97d,1754 (850-22-882 48.46%),1068 (0.61),,
C,"Wheeler, Terry",36y 73d,31 (16-0-15 51.61%),,←,
