Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Ablett, Luke",13,1,4,17,,1.0,,6.0,3.0,6.0,6.0,5.0,,2.0,,6.0,10.0,,,1.0,,,79.0
21,"Barry, Leo",10,7,6,16,,,,2.0,3.0,1.0,1.0,4.0,1.0,1.0,,5.0,11.0,,,2.0,1.0,,100.0
42,"Bevan, Paul",4,2,7,11,,,,1.0,2.0,1.0,,2.0,,1.0,,3.0,7.0,,,3.0,,,79.0
6,"Bolton, Craig",6,2,5,11,,,,4.0,1.0,1.0,1.0,2.0,,,,5.0,6.0,,,8.0,,,100.0
24,"Bolton, Jude",11,3,6,17,1,1.0,,8.0,,4.0,6.0,,1.0,,,14.0,6.0,,1.0,4.0,,,77.0
2,"Davis, Nick",7,3,8,15,,,,1.0,2.0,2.0,3.0,1.0,,,,8.0,8.0,,,1.0,,,71.0
26,"Dempster, Sean",4,4,5,9,,1.0,,4.0,3.0,1.0,2.0,4.0,1.0,3.0,,2.0,7.0,,,2.0,1.0,,91.0
10,"Everitt, Peter",4,3,2,6,,,18.0,,1.0,3.0,1.0,1.0,,1.0,,2.0,4.0,,,3.0,,,41.0
12,"Fosdike, Nic",16,4,10,26,,,,1.0,4.0,3.0,4.0,4.0,1.0,,,10.0,15.0,,,3.0,,,84.0
37,"Goodes, Adam",13,1,7,20,,1.0,1.0,4.0,3.0,3.0,5.0,4.0,1.0,2.0,1.0,12.0,7.0,,,2.0,1.0,,95.0
1,"Hall, Barry",6,5,2,8,3,1.0,,,,2.0,,5.0,1.0,2.0,,3.0,5.0,,3.0,1.0,,,92.0
16,"Jolly, Darren",4,,1,5,,,21.0,4.0,1.0,,2.0,2.0,,,,4.0,1.0,,,6.0,,,68.0
17,"Kennelly, Tadhg",11,3,7,18,,,,3.0,4.0,2.0,1.0,1.0,2.0,,,7.0,12.0,,,4.0,3.0,,68.0
31,"Kirk, Brett",12,2,12,24,1,,,5.0,2.0,5.0,7.0,,2.0,,3.0,17.0,5.0,,1.0,3.0,,2.0,85.0
9,"Malceski, Nick",16,5,6,22,,1.0,,2.0,6.0,6.0,,2.0,1.0,1.0,,5.0,16.0,,,3.0,1.0,1.0,97.0
4,"Mathews, Ben",5,2,4,9,,2.0,,5.0,,1.0,2.0,4.0,,3.0,,3.0,6.0,,,2.0,,,100.0
3,"McVeigh, Jarrad",12,3,3,15,,2.0,,1.0,,3.0,2.0,1.0,,1.0,,7.0,8.0,,1.0,2.0,,1.0,71.0
5,"OKeefe, Ryan",12,4,6,18,2,3.0,,5.0,1.0,5.0,,2.0,1.0,1.0,,6.0,9.0,,1.0,2.0,1.0,2.0,94.0
19,"OLoughlin, Michael",9,3,8,17,2,2.0,,3.0,1.0,2.0,1.0,,3.0,,,8.0,10.0,,3.0,1.0,,,91.0
25,"Richards, Ted",6,4,3,9,,1.0,,2.0,2.0,,,2.0,,,,5.0,4.0,1.0,1.0,,,,79.0
36,"Schmidt, Tim",6,4,7,13,1,1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,5.0,6.0,,2.0,,1.0,,58.0
13,"Schneider, Adam",14,6,8,22,1,4.0,,4.0,2.0,6.0,,1.0,1.0,1.0,,7.0,14.0,,3.0,1.0,1.0,1.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,201,71,127,328,11,23.0,40.0,67.0,42.0,58.0,45.0,48.0,16.0,20.0,4.0,144.0,177.0,1.0,16.0,54.0,10.0,7.0,
Opposition,Opposition,170,69,73,243,9,7.0,48.0,84.0,43.0,52.0,29.0,49.0,20.0,16.0,2.0,100.0,129.0,4.0,8.0,67.0,6.0,6.0,
