Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details,Brisbane Bears Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Bears Games (W-D-L W%),Brisbane Bears Goals (Ave.)
20,"Akermanis, Jason",19y 64d,19 (10-0-9 52.63%),16 (0.84),←,
10,"Ashcroft, Marcus",24y 216d,132 (40-1-91 30.68%),78 (0.59),←,
17,"Bartlett, Trent",19y 154d,13 (8-0-5 61.54%),1 (0.08),←,
25,"Bews, Andrew",31y 284d,249 (129-1-119 52.01%),134 (0.54),42 (19-0-23 45.24%),2 (0.05)
1,"Champion, Richard",28y 14d,99 (31-1-67 31.82%),34 (0.34),←,
5,"Chapman, Nathan",20y 357d,46 (14-0-32 30.43%),12 (0.26),←,
16,"Clarke, Matthew",22y 223d,49 (23-0-26 46.94%),4 (0.08),←,
14,"Dickfos, Danny",25y 211d,5 (4-0-1 80.00%),,←,
6,"Fletcher, Adrian",26y 201d,112 (51-0-61 45.54%),60 (0.54),67 (26-0-41 38.81%),40 (0.60)
32,"Hart, Shaun",24y 347d,87 (26-1-60 30.46%),67 (0.77),←,
41,"Kennedy, Matthew",26y 84d,94 (27-0-67 28.72%),22 (0.23),←,
18,"Lambert, Craig",27y 206d,157 (48-0-109 30.57%),66 (0.42),34 (15-0-19 44.12%),13 (0.38)
44,"Lappin, Nigel",19y 312d,41 (19-0-22 46.34%),29 (0.71),←,
23,"Leppitsch, Justin",20y 210d,29 (12-0-17 41.38%),26 (0.90),←,
42,"Lynch, Tristan",22y 250d,4 (3-0-1 75.00%),,←,
2,"McAdam, Gilbert",29y 29d,97 (52-1-44 54.12%),82 (0.85),44 (22-0-22 50.00%),34 (0.77)
24,"Merrett, Roger",36y 9d,299 (142-3-154 47.99%),419 (1.40),150 (45-1-104 30.33%),271 (1.81)
22,"Scott, Chris",19y 361d,38 (17-0-21 44.74%),19 (0.50),←,
38,"Scott, Dion",26y 27d,47 (20-0-27 42.55%),32 (0.68),41 (19-0-22 46.34%),32 (0.78)
3,"Voss, Michael",20y 296d,60 (25-0-35 41.67%),53 (0.88),←,
33,"White, Darryl",22y 321d,73 (27-1-45 37.67%),82 (1.12),←,
Totals,Totals,24y 199d,1750 (728-9-1013 41.60%),1236 (0.71),,
C,"Northey, John",52y 304d,261 (132-2-127 50.96%),,5 (4-0-1 80.00%),
