St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game],St Kilda Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Armitage, David",5,3,2,7,1,,,5.0,,1.0,1.0,1.0,1.0,,,2.0,4.0,,1.0,1.0,,,47.0
10,"Baker, Steven",9,5,6,15,,,,5.0,4.0,,3.0,3.0,1.0,3.0,,5.0,9.0,,,1.0,,,92.0
14,"Ball, Luke",8,2,8,16,,,,5.0,,6.0,2.0,4.0,,3.0,,9.0,7.0,,1.0,2.0,1.0,1.0,74.0
22,"Birss, Shane",8,1,8,16,,1.0,,3.0,,3.0,4.0,,2.0,,,9.0,7.0,,,1.0,,,75.0
27,"Blake, Jason",6,3,8,14,,1.0,3.0,4.0,,2.0,3.0,2.0,1.0,2.0,,8.0,6.0,1.0,,2.0,,,76.0
3,"Clarke, Xavier",7,2,5,12,1,1.0,1.0,3.0,1.0,5.0,,,1.0,,,2.0,9.0,,,,,2.0,78.0
26,"Dal Santo, Nick",6,1,7,13,,,1.0,3.0,,1.0,2.0,1.0,2.0,,,9.0,5.0,,,,4.0,,90.0
24,"Dempster, Sean",9,4,3,12,,,,5.0,1.0,1.0,2.0,2.0,,1.0,,4.0,8.0,,,,3.0,,85.0
6,"Fisher, Leigh",2,2,5,7,,,1.0,1.0,1.0,,,1.0,,1.0,,2.0,5.0,,,,,,62.0
25,"Fisher, Sam",11,4,2,13,,,,1.0,4.0,1.0,3.0,3.0,1.0,3.0,,5.0,8.0,,,5.0,,,100.0
28,"Gardiner, Charlie",9,5,6,15,,,,3.0,,1.0,1.0,2.0,1.0,,,4.0,11.0,,,1.0,,,75.0
18,"Goddard, Brendon",18,10,3,21,,,,,6.0,1.0,,6.0,,4.0,,5.0,14.0,1.0,,4.0,,,97.0
1,"Gram, Jason",12,4,14,26,1,1.0,,4.0,3.0,3.0,1.0,,2.0,,,7.0,19.0,,1.0,1.0,,1.0,94.0
35,"Harvey, Robert",12,5,10,22,,,,2.0,,2.0,2.0,3.0,3.0,,,9.0,13.0,,,1.0,,,76.0
7,"Hayes, Lenny",10,5,21,31,,,,3.0,3.0,,3.0,1.0,2.0,,,9.0,22.0,,,3.0,,,83.0
8,"Hudghton, Max",3,3,4,7,,,,1.0,,,,1.0,,1.0,,3.0,4.0,,,9.0,,,100.0
23,"Koschitzke, Justin",5,4,6,11,2,,11.0,1.0,,2.0,2.0,3.0,1.0,1.0,,6.0,5.0,,1.0,1.0,,,89.0
31,"Maguire, Matt",7,4,5,12,,,,,1.0,,,4.0,,1.0,,2.0,10.0,,,2.0,,,88.0
44,"Milne, Stephen",9,5,2,11,,1.0,,,1.0,4.0,,4.0,1.0,1.0,,5.0,6.0,1.0,,1.0,,,89.0
11,"Montagna, Leigh",15,4,11,26,1,,,8.0,2.0,3.0,2.0,4.0,,3.0,,6.0,19.0,,,3.0,,,72.0
12,"Riewoldt, Nick",7,4,4,11,3,,,1.0,,1.0,,1.0,2.0,1.0,,6.0,4.0,2.0,1.0,,,,100.0
29,"Rix, Michael",1,,3,4,,,11.0,4.0,2.0,,1.0,2.0,1.0,1.0,,3.0,1.0,,,1.0,,,57.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,179,80,143,322,9,7.0,28.0,62.0,29.0,37.0,32.0,48.0,22.0,26.0,,120.0,196.0,5.0,5.0,39.0,8.0,4.0,
Opposition,Opposition,204,112,149,353,12,10.0,41.0,58.0,28.0,44.0,31.0,49.0,26.0,22.0,6.0,126.0,232.0,13.0,14.0,48.0,23.0,11.0,
