Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",8,4,1,9,,,,,,2.0,,4.0,,1.0,,,8.0,,,,,2.0,57.0
29,"Bowes, Jack",8,7,4,12,,,,1.0,4.0,1.0,,5.0,,4.0,,3.0,9.0,,,5.0,,,82.0
12,"Day, Sam",3,3,2,5,,1.0,1.0,3.0,1.0,,,2.0,1.0,1.0,,2.0,3.0,,1.0,3.0,,,82.0
8,"Fiorini, Brayden",16,8,4,20,1,1.0,,3.0,3.0,4.0,2.0,3.0,1.0,,,5.0,14.0,,1.0,1.0,4.0,,80.0
33,"Hall, Aaron",14,5,12,26,,,,1.0,2.0,4.0,1.0,4.0,1.0,2.0,,10.0,17.0,,,1.0,1.0,,86.0
5,"Harbrow, Jarrod",15,3,2,17,,,,2.0,5.0,3.0,,2.0,,1.0,,6.0,10.0,,,1.0,2.0,1.0,82.0
39,"Holman, Nick",3,1,4,7,,,,3.0,,3.0,2.0,1.0,,1.0,,5.0,2.0,,,,,1.0,77.0
38,"Joyce, Jesse",11,5,6,17,,,,1.0,1.0,2.0,2.0,,3.0,,,7.0,10.0,,,3.0,,,86.0
10,"Kolodjashnij, Kade",13,9,1,14,,,,2.0,2.0,1.0,1.0,4.0,,1.0,,5.0,9.0,2.0,,3.0,,,81.0
19,"Lynch, Tom",7,4,1,8,3,1.0,,,,2.0,,1.0,1.0,,,5.0,3.0,2.0,3.0,1.0,,,77.0
25,"Lyons, Jarryd",10,1,16,26,,1.0,,4.0,,3.0,7.0,6.0,3.0,3.0,,15.0,10.0,,,,,,84.0
44,"Macpherson, Darcy",9,3,7,16,,,,2.0,,1.0,4.0,3.0,1.0,2.0,,7.0,10.0,,1.0,,,2.0,78.0
4,"Martin, Jack",15,4,4,19,1,,,2.0,,5.0,2.0,6.0,4.0,2.0,,8.0,12.0,,,,,,82.0
17,"May, Steven",6,2,5,11,,,,1.0,3.0,,,5.0,,3.0,,4.0,6.0,,,10.0,,,96.0
11,"Miller, Touk",6,2,10,16,,,,6.0,3.0,2.0,2.0,5.0,,1.0,,7.0,9.0,,,1.0,,1.0,85.0
35,"Rischitelli, Michael",3,,4,7,,,,1.0,,,1.0,,,,,2.0,5.0,,,,,,81.0
6,"Sexton, Alex",10,4,3,13,1,,,,,4.0,,5.0,1.0,2.0,,4.0,9.0,1.0,1.0,,,,91.0
24,"Swallow, David",14,7,15,29,1,,,3.0,2.0,2.0,3.0,4.0,1.0,1.0,,18.0,13.0,,1.0,1.0,1.0,,77.0
16,"Thompson, Rory",6,4,3,9,,,,2.0,2.0,,,2.0,,1.0,,3.0,6.0,,,11.0,,,89.0
14,"Weller, Lachie",17,6,6,23,,,,3.0,5.0,3.0,1.0,7.0,,1.0,,6.0,16.0,,,1.0,,,82.0
28,"Witts, Jarrod",7,,4,11,,,17.0,4.0,,3.0,4.0,1.0,2.0,1.0,,10.0,2.0,,,6.0,,,87.0
15,"Young, Aaron",8,7,9,17,2,,,1.0,,1.0,,1.0,,,,2.0,15.0,,1.0,,,,80.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,209,89,123,332,9,5.0,18.0,45.0,33.0,46.0,32.0,71.0,19.0,28.0,,134.0,198.0,5.0,9.0,48.0,8.0,7.0,
Opposition,Opposition,256,127,148,404,21,13.0,45.0,47.0,36.0,57.0,31.0,49.0,28.0,19.0,6.0,143.0,258.0,15.0,17.0,44.0,8.0,15.0,
