Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game],Western Bulldogs Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
5,"Boyd, Matthew",14,4,15,29,,1.0,,7.0,,5.0,8.0,,2.0,,2.0,14.0,15.0,,,2.0,2.0,1.0,87.0
17,"Cooney, Adam",10,3,12,22,1,1.0,,5.0,2.0,3.0,3.0,4.0,2.0,2.0,,9.0,13.0,,,,,1.0,84.0
8,"Crameri, Stewart",10,4,8,18,2,1.0,,3.0,,6.0,,1.0,,,,9.0,10.0,,2.0,1.0,1.0,2.0,88.0
6,"Dahlhaus, Luke",7,,10,17,1,,,4.0,2.0,2.0,1.0,3.0,1.0,1.0,,9.0,8.0,,,,,,81.0
13 ↑,"Giansiracusa, Daniel",2,,2,4,2,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,3.0,,,,,,23.0
16,"Griffen, Ryan",6,2,6,12,,1.0,,3.0,,1.0,5.0,1.0,2.0,1.0,,7.0,5.0,,,1.0,,1.0,82.0
7,"Higgins, Shaun",11,6,7,18,1,,,6.0,1.0,3.0,3.0,1.0,,,,6.0,12.0,1.0,2.0,1.0,,,75.0
26,"Hunter, Lachie",10,3,6,16,1,2.0,,6.0,,3.0,2.0,4.0,1.0,,,7.0,8.0,,1.0,,2.0,1.0,88.0
39,"Johannisen, Jason",3,1,1,4,,,,3.0,1.0,,,1.0,,1.0,,2.0,2.0,,,2.0,,,78.0
19,"Jones, Liam",8,6,6,14,3,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,,7.0,7.0,2.0,3.0,1.0,,,92.0
46,"Jong, Lin",8,3,2,10,2,,,2.0,1.0,4.0,2.0,2.0,2.0,1.0,,3.0,7.0,,,1.0,1.0,,87.0
21,"Liberatore, Tom",17,4,7,24,,,,12.0,2.0,2.0,12.0,1.0,3.0,1.0,,14.0,9.0,,,2.0,,2.0,88.0
11,"Macrae, Jack",13,9,17,30,1,1.0,,6.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,7.0,23.0,,1.0,1.0,1.0,2.0,83.0
27,"Minson, Will",4,1,3,7,,,55.0,3.0,3.0,,,4.0,1.0,4.0,,3.0,4.0,,,4.0,,,93.0
38,"Morris, Dale",8,5,3,11,,,,,1.0,,1.0,1.0,,1.0,,4.0,7.0,1.0,,4.0,,,99.0
2,"Murphy, Robert",14,5,5,19,,,,4.0,4.0,4.0,,1.0,,1.0,,3.0,15.0,,,2.0,2.0,1.0,91.0
42,"Picken, Liam",12,8,6,18,,,,2.0,4.0,2.0,1.0,2.0,,,,5.0,13.0,1.0,,2.0,1.0,,90.0
23 ↓,"Roughead, Jordan",1,1,2,3,,,1.0,2.0,,,,1.0,1.0,,,2.0,1.0,,,2.0,,,55.0
9,"Stringer, Jake",5,3,1,6,1,2.0,,2.0,1.0,,1.0,,,,,3.0,4.0,,2.0,1.0,,1.0,78.0
3,"Wallis, Mitch",5,1,2,7,,,,5.0,,1.0,2.0,3.0,1.0,3.0,,3.0,3.0,,,,,1.0,76.0
12,"Williams, Tom",8,4,5,13,,,,3.0,1.0,1.0,1.0,2.0,,1.0,,6.0,7.0,,,3.0,,,90.0
10,"Wood, Easton",4,5,7,11,,,,3.0,3.0,,1.0,1.0,,1.0,,3.0,8.0,,,3.0,1.0,1.0,90.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,180,78,133,313,15,10.0,57.0,83.0,28.0,44.0,45.0,39.0,21.0,21.0,5.0,127.0,184.0,5.0,11.0,33.0,11.0,14.0,
Opposition,Opposition,180,85,126,306,15,8.0,52.0,78.0,27.0,47.0,46.0,41.0,21.0,21.0,1.0,129.0,172.0,14.0,18.0,54.0,5.0,11.0,
