Notes,Previous,Current
Gold Coast's lowest score conceded,"59 v Brisbane Lions - R17,2012","23 v Richmond - R22,2025"
Gold Coast's biggest win,"44 v Greater Western Sydney - R5,2013","95 v Essendon - R1,2025"
