Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
27,"Barker, John",30y 50d,157 (62-1-94 39.81%),118 (0.75),102 (55-0-47 53.92%),105 (1.03)
10,"Bateman, Chance",23y 293d,45 (18-0-27 40.00%),15 (0.33),←,
20,"Beaumont, Simon",29y 118d,175 (76-0-99 43.43%),100 (0.57),23 (4-0-19 17.39%),11 (0.48)
30,"Brown, Campbell",21y 225d,43 (14-0-29 32.56%),26 (0.60),←,
25,"Clarke, Tim",23y 8d,49 (22-0-27 44.90%),13 (0.27),←,
9,"Crawford, Shane",30y 213d,235 (115-2-118 49.36%),185 (0.79),←,
24,"Croad, Trent",25y 32d,146 (68-1-77 46.92%),147 (1.01),108 (48-1-59 44.91%),87 (0.81)
1,"Everitt, Peter",30y 342d,219 (84-2-133 38.81%),348 (1.59),39 (11-0-28 28.21%),48 (1.23)
38,"Franklin, Lance",18y 70d,3 (0-0-3 0.00%),4 (1.33),←,
3,"Hay, Jonathan",25y 240d,132 (60-1-71 45.83%),12 (0.09),←,
15,"Hodge, Luke",20y 299d,48 (20-0-28 41.67%),34 (0.71),←,
8,"Jacobs, Danny",24y 289d,96 (56-1-39 58.85%),27 (0.28),15 (2-0-13 13.33%),4 (0.27)
18,"Ladson, Rick",21y 51d,17 (4-0-13 23.53%),11 (0.65),←,
40,"Lewis, Jordan",18y 351d,1 (0-0-1 0.00%),,←,
14,"Miller, Harry",19y 303d,3 (0-0-3 0.00%),1 (0.33),←,
5,"Mitchell, Sam",22y 180d,52 (21-0-31 40.38%),11 (0.21),←,
35,"Roughead, Jarryd",18y 77d,1 (0-0-1 0.00%),2 (2.00),←,
11,"Smith, Joel",27y 342d,168 (78-1-89 46.73%),84 (0.50),110 (49-1-60 45.00%),33 (0.30)
43,"Taylor, Simon",22y 235d,1 (0-0-1 0.00%),,←,
33,"Thurgood, Josh",19y 309d,3 (0-0-3 0.00%),,←,
21,"Vandenberg, Richard",28y 86d,102 (45-1-56 44.61%),47 (0.46),←,
6,"Williams, Mark",21y 362d,36 (10-0-26 27.78%),49 (1.36),←,
Totals,Totals,23y 320d,1732 (753-10-969 43.48%),1234 (0.71),,
C,"Clarkson, Alastair",36y 348d,3 (0-0-3 0.00%),,←,
