Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game],Collingwood Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Barnett, John",4,,5,9,,1.0,,3.0,,,,,,,,,,,,,,,
26,"Brown, Gavin",6,8,13,19,,,,,,,,,1.0,1.0,,,,,,,,,
5,"Buckley, Nathan",22,4,4,26,3,,,,,,,,5.0,1.0,,,,,,,,,
17,"Burns, Scott",2,1,,2,,,,,,,,,,,,,,,,,,,
28,"Crosisca, Gavin",19,8,5,24,1,,,1.0,,,,,1.0,2.0,,,,,,,,,
39,"Crow, Scott",16,5,6,22,,1.0,,5.0,,,,,4.0,2.0,,,,,,,,,
9,"Francis, Matthew",3,1,2,5,2,,1.0,,,,,,,,,,,,,,,,
2,"Francis, Tony",3,2,4,7,1,1.0,,3.0,,,,,,,,,,,,,,,
33,"Liddell, Chad",5,1,5,10,1,,,1.0,,,,,3.0,1.0,,,,,,,,,
8,"Mahoney, Josh",4,1,5,9,1,1.0,,4.0,,,,,1.0,,,,,,,,,,
27,"McDonald, Alex",12,6,7,19,,,2.0,5.0,,,,,1.0,,,,,,,,,,
48,"Michael, Mal",2,3,6,8,,,,3.0,,,,,1.0,,,,,,,,,,
1,"Monkhorst, Damian",5,5,4,9,,,10.0,1.0,,,,,1.0,1.0,,,,,,,,,
3,"Richardson, Mark",3,2,1,4,,,6.0,1.0,,,,,1.0,1.0,,,,,,,,,
36,"Rocca, Saverio",3,3,2,5,,3.0,1.0,,,,,,,1.0,,,,,,,,,
29,"Russell, Scott",15,8,12,27,,2.0,,4.0,,,,,1.0,1.0,,,,,,,,,
12,"Schauble, Andrew",5,3,6,11,,,,1.0,,,,,1.0,1.0,,,,,,,,,
14,"Watson, Shane",5,5,6,11,,,,1.0,,,,,,,,,,,,,,,
22,"Wild, Jason",10,4,4,14,1,,,,,,,,1.0,1.0,,,,,,,,,
10,"Williams, Paul",22,7,4,26,,1.0,,2.0,,,,,1.0,2.0,1.0,,,,,,,,
19,"Wright, Graham",8,3,3,11,,,,1.0,,,,,,2.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,174,80,104,278,10,12.0,20.0,36.0,,,,,23.0,17.0,1.0,,,,,,,,
Opposition,Opposition,190,71,131,321,9,26.0,17.0,31.0,,,,,17.0,23.0,5.0,,,,,,,,
