Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
2,"Armstrong, Steven",19y 175d,23 (14-0-9 60.87%),11 (0.48),←,
3,"Bizzell, Clint",27y 8d,111 (49-1-61 44.59%),77 (0.69),36 (17-0-19 47.22%),5 (0.14)
25,"Brown, Nathan",26y 326d,66 (32-0-34 48.48%),19 (0.29),←,
32,"Bruce, Cameron",23y 279d,77 (40-0-37 51.95%),83 (1.08),←,
35,"Ferguson, Ryan",21y 280d,12 (5-0-7 41.67%),1 (0.08),←,
30,"Godfrey, Simon",22y 261d,38 (18-0-20 47.37%),4 (0.11),←,
18,"Green, Brad",22y 115d,76 (39-0-37 51.32%),120 (1.58),←,
1,"Heffernan, Chris",24y 158d,111 (72-1-38 65.32%),44 (0.40),14 (5-0-9 35.71%),6 (0.43)
16,"Johnstone, Travis",22y 354d,80 (38-0-42 47.50%),64 (0.80),←,
11,"Jolly, Darren",21y 242d,33 (16-0-17 48.48%),11 (0.33),←,
36,"Leoncelli, Andrew",28y 354d,144 (66-0-78 45.83%),66 (0.46),←,
23,"McDonald, James",26y 274d,106 (52-0-54 49.06%),32 (0.30),←,
37,"Miller, Brad",20y,14 (6-0-8 42.86%),,←,
9,"Neitz, David",28y 165d,218 (100-0-118 45.87%),409 (1.88),←,
8,"Nicholson, Alistair",25y 124d,68 (35-0-33 51.47%),3 (0.04),←,
24,"Robertson, Russell",24y 224d,114 (57-0-57 50.00%),173 (1.52),←,
42,"Walsh, Peter",26y 347d,83 (43-0-40 51.81%),22 (0.27),←,
10,"Ward, Daniel",25y 362d,79 (34-0-45 43.04%),23 (0.29),←,
45,"Whelan, Matthew",23y 235d,60 (29-0-31 48.33%),7 (0.12),←,
34,"White, Jeff",26y 137d,155 (75-0-80 48.39%),72 (0.46),123 (62-0-61 50.41%),54 (0.44)
26,"Williams, Luke",23y 189d,38 (18-0-20 47.37%),6 (0.16),←,
13,"Yze, Adem",25y 288d,179 (80-0-99 44.69%),127 (0.71),←,
Totals,Totals,24y 189d,1885 (918-2-965 48.70%),1374 (0.73),,
C,"Daniher, Neale",42y 141d,132 (66-0-66 50.00%),,←,
