Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details,Carlton Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Carlton Games (W-D-L W%),Carlton Goals (Ave.)
24,"Allan, Matthew",20y 56d,9 (7-0-2 77.78%),5 (0.56),←,
21,"Bradley, Craig",31y 182d,205 (125-2-78 61.46%),156 (0.76),←,
16,"Camporeale, Scott",19y 255d,4 (4-0-0 100.00%),2 (0.50),←,
39,"Christou, Ang",23y 97d,52 (35-1-16 68.27%),12 (0.23),←,
6,"Clape, Matt",25y 330d,33 (25-0-8 75.76%),24 (0.73),4 (4-0-0 100.00%),10 (2.50)
35,"Dean, Peter",30y 45d,189 (118-1-70 62.70%),27 (0.14),←,
12,"Gleeson, Adrian",27y 358d,167 (103-2-62 62.28%),169 (1.01),←,
13,"Hanna, Mil",29y 18d,155 (87-2-66 56.77%),64 (0.41),←,
4,"Kernahan, Stephen",31y 234d,202 (123-2-77 61.39%),615 (3.04),←,
43,"Koutoufides, Anthony",22y 95d,40 (23-1-16 58.75%),10 (0.25),←,
44,"Madden, Justin",33y 327d,290 (179-2-109 62.07%),182 (0.63),245 (149-2-94 61.22%),162 (0.66)
5,"McKay, Andrew",24y 283d,50 (34-1-15 69.00%),11 (0.22),←,
10,"Mitchell, Barry",29y 137d,207 (95-2-110 46.38%),242 (1.17),24 (17-0-7 70.83%),20 (0.83)
27,"OSullivan, Luke",27y 26d,44 (23-0-21 52.27%),41 (0.93),←,
19,"Pearce, Brad",23y 250d,8 (6-0-2 75.00%),4 (0.50),6 (6-0-0 100.00%),3 (0.50)
7,"Ratten, Brett",23y 286d,76 (43-0-33 56.58%),15 (0.20),←,
14,"Sexton, Michael",24y 49d,86 (51-1-34 59.88%),6 (0.07),←,
1,"Silvagni, Stephen",27y 327d,168 (107-1-60 63.99%),116 (0.69),←,
11,"Spalding, Earl",30y 43d,174 (114-1-59 65.80%),124 (0.71),65 (44-1-20 68.46%),61 (0.94)
32,"Whitehead, Adrian",19y 241d,12 (10-0-2 83.33%),,←,
2,"Williams, Greg",31y 205d,206 (119-1-86 58.01%),170 (0.83),65 (43-1-21 66.92%),42 (0.65)
Totals,Totals,26y 200d,2377 (1431-20-926 60.20%),1995 (0.84),,
C,"Parkin, David",52y 223d,378 (222-2-154 58.99%),,215 (135-2-78 63.26%),
