North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
33,"Allison, Brett",25y 23d,104 (51-1-52 49.52%),104 (1.00),←,
11,"Archer, Glenn",20y 86d,19 (11-0-8 57.89%),10 (0.53),←,
12,"Blakey, John",26y 329d,142 (58-0-84 40.85%),40 (0.28),7 (6-0-1 85.71%),2 (0.29)
18,"Carey, Wayne",22y 22d,71 (37-0-34 52.11%),155 (2.18),←,
23,"Clarkson, Alastair",25y 52d,68 (29-2-37 44.12%),54 (0.79),←,
6,"Fairley, Ian",28y 273d,152 (75-2-75 50.00%),143 (0.94),←,
29,"German, Peter",28y 136d,169 (83-3-83 50.00%),196 (1.16),←,
26,"Ishchenko, Alex",29y 59d,99 (41-0-58 41.41%),35 (0.35),27 (15-0-12 55.56%),10 (0.37)
7,"Laidley, Dani",26y 83d,63 (38-1-24 61.11%),12 (0.19),11 (9-0-2 81.82%),1 (0.09)
9,"Larkin, Matthew",28y 303d,167 (86-3-78 52.40%),143 (0.86),←,
35,"Longmire, John",22y 169d,101 (48-1-52 48.02%),322 (3.19),←,
4,"Martyn, Mick",24y 291d,105 (51-1-53 49.05%),11 (0.10),←,
41,"McAdam, Adrian",22y 98d,7 (6-0-1 85.71%),39 (5.57),←,
22,"Roberts, Mark",27y 355d,101 (42-0-59 41.58%),53 (0.52),24 (16-0-8 66.67%),34 (1.42)
3,"Rock, Anthony",22y 262d,58 (31-0-27 53.45%),57 (0.98),←,
1,"Romero, Jose",21y 321d,69 (36-0-33 52.17%),84 (1.22),←,
2,"Schwass, Wayne",24y 203d,90 (43-0-47 47.78%),46 (0.51),←,
24,"Sholl, Craig",25y 170d,75 (40-0-35 53.33%),14 (0.19),←,
15,"Smith, Ross",28y 135d,162 (77-2-83 48.15%),33 (0.20),←,
10,"Stevens, Anthony",21y 351d,53 (28-0-25 52.83%),21 (0.40),←,
Totals,Totals,25y 58d,1875 (911-16-948 48.59%),1572 (0.84),,
C,"Pagan, Denis",45y 267d,11 (9-0-2 81.82%),,←,
