Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game],Fremantle Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Bell, Peter",20,4,11,31,1,,,4.0,,5.0,4.0,2.0,2.0,1.0,3.0,11.0,21.0,,,2.0,2.0,,
30,"Brown, Leigh",8,4,1,9,1,,1.0,,,5.0,3.0,1.0,1.0,,,5.0,5.0,,,2.0,,,
9,"Carr, Matthew",8,2,6,14,2,,,7.0,,,1.0,,,,,6.0,8.0,,1.0,4.0,,,
10,"Cook, Troy",11,4,10,21,,1.0,,8.0,1.0,5.0,4.0,1.0,,,,3.0,17.0,,,3.0,,,
24,"Croad, Trent",10,5,3,13,2,3.0,1.0,1.0,,1.0,1.0,4.0,1.0,3.0,,6.0,6.0,1.0,3.0,1.0,,,
38,"Cunningham, Ben",14,3,7,21,,1.0,,1.0,1.0,2.0,3.0,6.0,1.0,1.0,,8.0,13.0,1.0,,1.0,,,
7,"Farmer, Jeff",7,2,2,9,2,1.0,,1.0,,3.0,,2.0,,1.0,,4.0,5.0,1.0,2.0,,,,
14,"Grover, Antoni",3,2,10,13,,,,4.0,2.0,2.0,,,,,,3.0,9.0,,,2.0,2.0,,
4,"Hasleby, Paul",10,7,8,18,2,1.0,1.0,2.0,,5.0,4.0,,,,,10.0,8.0,4.0,3.0,1.0,,,
28,"Koops, Steven",9,8,11,20,,1.0,1.0,3.0,3.0,1.0,,2.0,3.0,1.0,,7.0,13.0,2.0,1.0,3.0,1.0,,
20,"Longmuir, Justin",8,6,4,12,1,1.0,6.0,2.0,,6.0,1.0,1.0,1.0,1.0,,8.0,5.0,3.0,,2.0,,,
8,"McManus, Shaun",11,2,8,19,,,,4.0,2.0,4.0,4.0,2.0,,1.0,,6.0,13.0,,,1.0,,,
15,"McPharlin, Luke",10,5,7,17,,,1.0,,6.0,2.0,1.0,,,,,7.0,10.0,1.0,,3.0,3.0,,
17,"McPhee, Adam",5,2,4,9,1,,,3.0,,,1.0,,,,,3.0,6.0,,1.0,2.0,,,
34,"Medhurst, Paul",7,7,,7,2,2.0,,2.0,,1.0,,3.0,,2.0,,2.0,5.0,2.0,5.0,2.0,,,
25,"Norrish, Jason",3,,7,10,,1.0,,3.0,,2.0,1.0,3.0,,2.0,,2.0,8.0,,,4.0,,,
23,"Parker, Shane",8,5,11,19,,,,,7.0,1.0,,1.0,1.0,1.0,2.0,8.0,10.0,,,3.0,1.0,,
29,"Pavlich, Matthew",12,7,10,22,1,1.0,,3.0,3.0,2.0,2.0,2.0,,,1.0,6.0,15.0,1.0,,4.0,8.0,,
35,"Siegert, Andrew",4,1,4,8,,,,3.0,,1.0,,1.0,,1.0,,2.0,6.0,,,3.0,,,
2,"Simmonds, Troy",6,4,9,15,1,,25.0,4.0,,,3.0,4.0,,2.0,,8.0,7.0,1.0,1.0,2.0,,,
19,"Walker, James",11,2,8,19,,,,3.0,,5.0,2.0,3.0,,1.0,,6.0,13.0,,,3.0,,,
6,"Woods, Dion",7,3,3,10,1,,,2.0,1.0,1.0,,1.0,1.0,,,4.0,6.0,1.0,,5.0,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,192,85,144,336,17,15.0,36.0,60.0,26.0,54.0,35.0,39.0,11.0,18.0,6.0,125.0,209.0,18.0,17.0,53.0,17.0,,
Opposition,Opposition,166,59,117,283,11,6.0,22.0,37.0,27.0,37.0,35.0,26.0,18.0,11.0,,117.0,172.0,5.0,8.0,21.0,8.0,,
