Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details,Essendon Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Essendon Games (W-D-L W%),Essendon Goals (Ave.)
27,"Alessio, Steven",31y 275d,183 (119-3-61 65.85%),193 (1.05),←,
23,"Bolton, Mark",24y 129d,54 (33-1-20 62.04%),26 (0.48),←,
37,"Bullen, Marcus",21y 29d,15 (11-0-4 73.33%),5 (0.33),←,
13,"Cupido, Damian",21y 152d,31 (18-0-13 58.06%),47 (1.52),18 (11-0-7 61.11%),31 (1.72)
31,"Fletcher, Dustin",28y 95d,201 (140-3-58 70.40%),59 (0.29),←,
39,"Haynes, Ben",22y 44d,7 (5-0-2 71.43%),1 (0.14),2 (2-0-0 100.00%),1 (0.50)
19,"Hille, David",22y 69d,44 (27-0-17 61.36%),28 (0.64),←,
5,"Hird, James",30y 187d,181 (115-5-61 64.92%),271 (1.50),←,
21,"Jacobs, Danny",23y 46d,76 (51-1-24 67.76%),20 (0.26),←,
14,"Johnson, Jason",25y 197d,106 (76-1-29 72.17%),61 (0.58),←,
1,"Johnson, Mark",25y 79d,105 (78-1-26 74.76%),30 (0.29),←,
18,"Lloyd, Matthew",25y 116d,160 (103-2-55 65.00%),579 (3.62),←,
25,"Lucas, Scott",25y 223d,155 (100-1-54 64.84%),226 (1.46),←,
28,"McGrath, Cory",24y 187d,25 (16-0-9 64.00%),14 (0.56),←,
33,"McPhee, Adam",20y 308d,44 (17-0-27 38.64%),17 (0.39),19 (11-0-8 57.89%),8 (0.42)
10,"McVeigh, Mark",22y 196d,76 (49-1-26 65.13%),33 (0.43),←,
2,"Mercuri, Mark",29y 170d,195 (130-3-62 67.44%),239 (1.23),←,
24,"Misiti, Joe",28y 274d,212 (135-4-73 64.62%),89 (0.42),←,
11,"Peverill, Damien",24y 29d,48 (29-1-18 61.46%),11 (0.23),←,
7,"Solomon, Dean",23y 213d,94 (68-0-26 72.34%),29 (0.31),←,
6,"Wellman, Sean",28y 324d,197 (118-3-76 60.66%),34 (0.17),163 (105-2-56 65.03%),25 (0.15)
12,"Welsh, Andrew",20y 180d,32 (17-1-14 54.69%),3 (0.09),←,
Totals,Totals,24y 359d,2241 (1455-31-755 64.93%),2015 (0.90),,
C,"Sheedy, Kevin",55y 229d,540 (349-6-185 65.19%),,←,
