Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details,Gold Coast Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Gold Coast Games (W-D-L W%),Gold Coast Goals (Ave.)
9,"Ablett, Gary",27y 98d,210 (127-2-81 60.95%),280 (1.33),18 (3-0-15 16.67%),18 (1.00)
55,"Ablett, Nathan",25y 250d,33 (22-1-10 68.18%),46 (1.39),1 (0-0-1 0.00%),
37,"Bennell, Harley",18y 322d,12 (2-0-10 16.67%),10 (0.83),←,
44,"Bock, Nathan",28y 153d,132 (63-0-69 47.73%),58 (0.44),19 (3-0-16 15.79%),1 (0.05)
3,"Brennan, Jared",27y 23d,139 (58-3-78 42.81%),85 (0.61),20 (3-0-17 15.00%),10 (0.50)
19,"Daye, Joseph",21y 199d,4 (1-0-3 25.00%),1 (0.25),←,
17,"Fraser, Josh",29y 227d,215 (112-1-102 52.33%),166 (0.77),15 (2-0-13 13.33%),10 (0.67)
5,"Harbrow, Jarrod",23y 33d,90 (43-1-46 48.33%),23 (0.26),20 (3-0-17 15.00%),2 (0.10)
40,"Hickey, Tom",20y 167d,1 (0-0-1 0.00%),1 (1.00),←,
7,"Hunt, Karmichael",24y 276d,14 (2-0-12 14.29%),1 (0.07),←,
45,"May, Steven",19y 222d,9 (0-0-9 0.00%),,←,
18,"McKenzie, Trent",19y 139d,19 (3-0-16 15.79%),13 (0.68),←,
41,"Prestia, Dion",18y 312d,15 (1-0-14 6.67%),1 (0.07),←,
35,"Rischitelli, Michael",25y 224d,130 (52-3-75 41.15%),55 (0.42),19 (3-0-16 15.79%),8 (0.42)
8,"Russell, Luke",19y 208d,9 (1-0-8 11.11%),3 (0.33),←,
26,"Shaw, Matt",19y 196d,13 (2-0-11 15.38%),7 (0.54),←,
25,"Stanley, Danny",23y 183d,25 (4-0-21 16.00%),18 (0.72),20 (3-0-17 15.00%),18 (0.90)
24,"Swallow, David",18y 274d,19 (3-0-16 15.79%),10 (0.53),←,
48,"Tape, Seb",19y 14d,12 (1-0-11 8.33%),,←,
16,"Thompson, Rory",20y 161d,6 (1-0-5 16.67%),1 (0.17),←,
52,"Tippett, Joel",22y 298d,1 (0-0-1 0.00%),,←,
4,"Weller, Maverick",19y 188d,13 (1-0-12 7.69%),2 (0.15),←,
Totals,Totals,22y 156d,1121 (499-11-611 44.51%),781 (0.70),,
C,"McKenna, Guy",42y 101d,20 (3-0-17 15.00%),,←,
