Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",34y 28d,292 (170-0-122 58.22%),139 (0.48),←,
16,"Brown, Leigh",25y 57d,154 (60-1-93 39.29%),60 (0.39),91 (41-1-49 45.60%),40 (0.44)
43,"Campbell, Matt",20y 90d,3 (1-0-2 33.33%),1 (0.33),←,
27,"Edwards, Aaron",23y 50d,7 (5-0-2 71.43%),4 (0.57),3 (1-0-2 33.33%),2 (0.67)
24,"Firrito, Michael",23y 145d,62 (30-0-32 48.39%),12 (0.19),←,
38,"Gibson, Josh",23y 39d,13 (4-0-9 30.77%),,←,
6,"Grant, Shannon",30y 2d,259 (143-2-114 55.60%),295 (1.14),201 (111-1-89 55.47%),257 (1.28)
15,"Green, Kasey",27y 223d,78 (29-1-48 37.82%),21 (0.27),24 (8-0-16 33.33%),13 (0.54)
17,"Grima, Blake",22y 317d,6 (4-0-2 66.67%),1 (0.17),←,
4,"Harris, Daniel",24y 346d,95 (44-1-50 46.84%),29 (0.31),←,
29,"Harvey, Brent",28y 342d,220 (121-1-98 55.23%),256 (1.16),←,
21,"Jones, Corey",26y 54d,107 (47-0-60 43.93%),127 (1.19),←,
1,"McIntosh, Hamish",22y 229d,22 (6-0-16 27.27%),9 (0.41),←,
20,"Petrie, Drew",24y 188d,110 (50-1-59 45.91%),75 (0.68),←,
30,"Pratt, Daniel",24y 31d,42 (19-0-23 45.24%),4 (0.10),39 (18-0-21 46.15%),3 (0.08)
3,"Rawlings, Brady",25y 315d,137 (68-0-69 49.64%),52 (0.38),←,
7,"Simpson, Adam",31y 64d,246 (142-1-103 57.93%),71 (0.29),←,
9,"Sinclair, Jess",28y 238d,165 (62-1-102 37.88%),63 (0.38),115 (49-1-65 43.04%),37 (0.32)
19,"Swallow, Andrew",19y 323d,16 (4-0-12 25.00%),3 (0.19),←,
12,"Thomas, Lindsay",19y 52d,4 (1-0-3 25.00%),2 (0.50),←,
36,"Watt, Shannon",26y 146d,112 (54-1-57 48.66%),8 (0.07),←,
8,"Wells, Daniel",22y 77d,88 (41-1-46 47.16%),50 (0.57),←,
Totals,Totals,25y 70d,2238 (1105-11-1122 49.37%),1282 (0.57),,
C,"Laidley, Dani",40y 25d,93 (42-1-50 45.70%),,←,
