Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
13,"Blumfield, Justin",26y 202d,141 (90-1-50 64.18%),89 (0.63),12 (4-0-8 33.33%),3 (0.25)
11,"Bowden, Joel",25y 358d,160 (74-0-86 46.25%),138 (0.86),←,
7,"Brown, Nathan",26y 124d,149 (68-3-78 46.64%),227 (1.52),12 (4-0-8 33.33%),21 (1.75)
17,"Campbell, Wayne",31y 264d,267 (121-1-145 45.51%),158 (0.59),←,
6,"Chaffey, Mark",27y 38d,134 (58-0-76 43.28%),29 (0.22),←,
14,"Fiora, Aaron",23y 55d,72 (33-0-39 45.83%),23 (0.32),←,
2,"Gaspar, Darren",28y 24d,188 (85-0-103 45.21%),20 (0.11),167 (78-0-89 46.71%),19 (0.11)
20,"Hall, Ray",23y 230d,59 (26-0-33 44.07%),24 (0.41),←,
33,"Hartigan, Brent",19y 67d,12 (4-0-8 33.33%),2 (0.17),←,
31,"Hyde, Chris",21y 309d,20 (4-0-16 20.00%),3 (0.15),←,
28,"Johnson, Kane",26y 90d,136 (66-0-70 48.53%),57 (0.42),32 (11-0-21 34.38%),13 (0.41)
3,"Kellaway, Duncan",31y 117d,180 (85-1-94 47.50%),12 (0.07),←,
27,"Krakouer, Andrew",21y 130d,46 (14-0-32 30.43%),46 (1.00),←,
40,"Moore, Kelvin",20y 80d,2 (0-0-2 0.00%),,←,
35,"Newman, Chris",22y 26d,47 (14-0-33 29.79%),6 (0.13),←,
5,"Ottens, Brad",24y 140d,123 (53-0-70 43.09%),143 (1.16),←,
8,"Pettifer, Kayne",22y 143d,31 (14-0-17 45.16%),20 (0.65),←,
12,"Richardson, Matthew",29y 86d,185 (84-0-101 45.41%),550 (2.97),←,
18,"Rodan, David",20y 249d,51 (17-0-34 33.33%),37 (0.73),←,
25,"Schulz, Jay",19y 56d,14 (6-0-8 42.86%),5 (0.36),←,
10,"Stafford, Greg",29y 291d,174 (77-1-96 44.54%),109 (0.63),44 (15-0-29 34.09%),51 (1.16)
32,"Tivendale, Greg",25y 55d,115 (49-0-66 42.61%),90 (0.78),←,
Totals,Totals,24y 292d,2306 (1042-7-1257 45.19%),1788 (0.78),,
C,"Frawley, Danny",40y 279d,103 (45-0-58 43.69%),,←,
