Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game],Richmond Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
45,"Banik, Anthony",6,2,6,12,,,,2.0,,,,,1.0,2.0,,,,,,,,,
31,"Bower, Brendan",14,3,4,18,,,,4.0,,,,,3.0,3.0,,,,,,,,,
16,"Cloke, David",7,5,5,12,,1.0,1.0,2.0,,,,,2.0,5.0,,,,,,,,,
25,"Gale, Brendon",7,4,8,15,1,1.0,,1.0,,,,,,,,,,,,,,,
24,"Goodwin, Andy",4,,,4,,,,2.0,,,,,1.0,1.0,,,,,,,,,
19,"Hamilton, Greg",6,4,4,10,,1.0,,,,,,,,1.0,,,,,,,,,
34,"Hogg, Jeff",6,4,3,9,,3.0,,1.0,,,,,1.0,3.0,,,,,,,,,
42,"Honybun, David",11,5,1,12,6,3.0,1.0,,,,,,2.0,,,,,,,,,,
40,"James, Stephen",10,3,6,16,,,,2.0,,,,,1.0,1.0,,,,,,,,,
33,"Knights, Matthew",21,6,13,34,,1.0,,2.0,,,,,3.0,,1.0,,,,,,,,
4,"Lambert, Craig",9,,9,18,1,1.0,,2.0,,,,,1.0,,,,,,,,,,
1,"Lee, Mark",3,1,2,5,,,6.0,2.0,,,,,1.0,,,,,,,,,,
26,"Leys, Brian",3,,1,4,,,,,,,,,,1.0,,,,,,,,,
12,"McKellar, Allan",1,1,1,2,,,,,,,,,,,,,,,,,,,
7,"Mitchell, Michael",11,4,9,20,1,2.0,,6.0,,,,,,2.0,3.0,,,,,,,,
22,"Nichols, Trent",21,5,7,28,4,2.0,,1.0,,,,,2.0,1.0,2.0,,,,,,,,
35,"Pickering, Michael",17,4,6,23,2,,,3.0,,,,,,3.0,,,,,,,,,
21,"Powell, Tim",17,6,9,26,,,,,,,,,4.0,,,,,,,,,,
48,"Ryan, Stephen",10,5,5,15,,1.0,,2.0,,,,,1.0,,,,,,,,,,
53,"Young, Barry",14,3,9,23,,,,5.0,,,,,,1.0,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,198,65,108,306,15,18.0,8.0,37.0,,,,,23.0,24.0,6.0,,,,,,,,
Opposition,Opposition,180,57,113,293,13,7.0,22.0,29.0,,,,,24.0,23.0,,,,,,,,,
