Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details,Brisbane Lions Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Brisbane Lions Games (W-D-L W%),Brisbane Lions Goals (Ave.)
37,"Allison, Jacob",19y 132d,5 (1-0-4 20.00%),1 (0.20),←,
31,"Andrews, Harris",20y 258d,58 (12-0-46 20.69%),8 (0.14),←,
43,"Barrett, Jake",21y 291d,18 (5-0-13 27.78%),15 (0.83),17 (5-0-12 29.41%),15 (0.88)
4,"Bastinac, Ryan",26y 65d,159 (75-0-84 47.17%),91 (0.57),38 (8-0-30 21.05%),25 (0.66)
17,"Beams, Claye",25y 359d,54 (13-0-41 24.07%),27 (0.50),←,
9,"Beams, Dayne",27y 195d,147 (82-2-63 56.46%),149 (1.01),37 (6-0-31 16.22%),31 (0.84)
33,"Close, Michael",23y 27d,27 (7-0-20 25.93%),24 (0.89),←,
20,"Cox, Cedric",20y 7d,8 (2-0-6 25.00%),1 (0.13),←,
27,"Gardiner, Darcy",21y 338d,62 (16-0-46 25.81%),4 (0.06),←,
35,"Lester, Ryan",25y,102 (30-0-72 29.41%),45 (0.44),←,
12,"Martin, Stefan",30y 282d,136 (32-1-103 23.90%),39 (0.29),79 (18-0-61 22.78%),16 (0.20)
36,"Mathieson, Rhys",20y 228d,24 (6-0-18 25.00%),16 (0.67),←,
32,"Mayes, Sam",23y 98d,95 (27-0-68 28.42%),26 (0.27),←,
6,"McCluggage, Hugh",19y 176d,18 (4-0-14 22.22%),8 (0.44),←,
25,"McStay, Daniel",22y 63d,60 (13-0-47 21.67%),31 (0.52),←,
10,"Rich, Daniel",27y 80d,165 (52-1-112 31.82%),101 (0.61),←,
18,"Robertson, Nick",22y 84d,47 (7-0-40 14.89%),7 (0.15),←,
38,"Rockliff, Tom",27y 185d,154 (46-0-108 29.87%),87 (0.56),←,
28,"Taylor, Lewis",22y 190d,85 (18-0-67 21.18%),64 (0.75),←,
14,"Walker, Josh",24y 287d,60 (25-1-34 42.50%),67 (1.12),27 (6-0-21 22.22%),32 (1.19)
29,"Witherden, Alex",18y 350d,9 (2-0-7 22.22%),2 (0.22),←,
15,"Zorko, Dayne",28y 198d,122 (37-0-85 30.33%),135 (1.11),←,
Totals,Totals,23y 227d,1615 (512-5-1098 31.70%),948 (0.59),,
C,"Fagan, Chris",56y 64d,22 (5-0-17 22.73%),,←,
