Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",14,5,8,22,2,1.0,,2.0,2.0,2.0,2.0,2.0,,1.0,,5.0,14.0,,2.0,1.0,,,86.0
15,"Anderson, Noah",20,3,15,35,1,,,5.0,3.0,8.0,8.0,8.0,1.0,,,12.0,23.0,,,4.0,1.0,1.0,87.0
10,"Ballard, Charlie",13,3,6,19,,,,,4.0,,,3.0,2.0,,1.0,9.0,5.0,1.0,,10.0,,,100.0
16,"Berry, Tom",10,3,7,17,1,,,7.0,2.0,1.0,,2.0,3.0,2.0,,9.0,8.0,,,3.0,,,72.0
35,"Budarick, Connor",4,,3,7,,,,3.0,,,,5.0,1.0,2.0,,2.0,3.0,,,5.0,,,86.0
30,"Casboult, Levi",7,4,3,10,,,1.0,1.0,,3.0,1.0,2.0,2.0,,,4.0,5.0,,,2.0,,,77.0
25,"Collins, Sam",7,2,4,11,,,,2.0,6.0,1.0,,,1.0,,,6.0,6.0,,,11.0,,,98.0
4 ↓,"Ellis, Brandon",9,3,6,15,,1.0,,2.0,,4.0,1.0,4.0,,1.0,,7.0,9.0,,,1.0,,,69.0
8,"Fiorini, Brayden",15,8,9,24,,,,3.0,1.0,3.0,1.0,1.0,1.0,,,6.0,18.0,,,1.0,,1.0,86.0
3,"Flanders, Sam",21,4,14,35,,,,4.0,,6.0,3.0,5.0,,,,11.0,24.0,,,1.0,,,77.0
7,"Holman, Nick",7,1,2,9,,1.0,,4.0,1.0,3.0,1.0,5.0,,4.0,,6.0,2.0,,,,,,73.0
19,"Humphrey, Bailey",9,3,7,16,1,3.0,,1.0,,3.0,,3.0,,1.0,,6.0,9.0,,3.0,1.0,,,75.0
34,"King, Ben",1,,3,4,,,,1.0,,,,2.0,,2.0,,2.0,2.0,,,,,,82.0
13,"Lukosius, Jack",7,1,2,9,,1.0,3.0,,1.0,3.0,,2.0,,,,4.0,5.0,,,3.0,,,77.0
44 ↑,"Macpherson, Darcy",1,,,1,,,,,,1.0,,,,,,,1.0,,,,,,17.0
11,"Miller, Touk",9,2,20,29,,,,9.0,2.0,3.0,10.0,6.0,,3.0,2.0,19.0,12.0,,,3.0,,3.0,84.0
27,"Powell, Wil",15,3,6,21,,,,5.0,7.0,2.0,1.0,2.0,,,,10.0,7.0,1.0,,1.0,,,77.0
41,"Rosas, Malcolm",5,3,,5,2,2.0,,1.0,,,1.0,3.0,,1.0,,3.0,3.0,,3.0,1.0,,,76.0
18,"Rowell, Matt",16,1,13,29,1,,,10.0,5.0,2.0,9.0,5.0,4.0,4.0,3.0,20.0,9.0,,,4.0,,,80.0
6,"Sexton, Alex",14,7,3,17,,1.0,,,6.0,2.0,1.0,3.0,,1.0,,4.0,10.0,,,2.0,1.0,,76.0
24,"Swallow, David",12,5,2,14,,,,,2.0,2.0,,3.0,2.0,1.0,,3.0,11.0,1.0,,5.0,,,74.0
32,"Uwland, Bodhi",6,2,2,8,,,,3.0,3.0,1.0,,1.0,1.0,,,2.0,5.0,,,10.0,,,90.0
28,"Witts, Jarrod",5,1,4,9,,,36.0,7.0,1.0,1.0,4.0,3.0,3.0,1.0,,6.0,5.0,,,4.0,,,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,227,64,139,366,8,12.0,40.0,70.0,46.0,51.0,43.0,70.0,21.0,24.0,6.0,156.0,196.0,3.0,8.0,73.0,2.0,5.0,
Opposition,Opposition,220,50,139,359,8,6.0,50.0,72.0,43.0,54.0,43.0,66.0,24.0,20.0,,166.0,167.0,5.0,4.0,62.0,1.0,4.0,
