North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details,North Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),North Melbourne Games (W-D-L W%),North Melbourne Goals (Ave.)
44,"Brayshaw, Mark",26y 94d,29 (18-0-11 62.07%),2 (0.07),←,
14,"Buckley, Ben",24y 315d,55 (23-0-32 41.82%),14 (0.25),←,
18,"Carey, Wayne",20y 348d,46 (24-0-22 52.17%),78 (1.70),←,
23,"Clarkson, Alastair",24y 12d,55 (24-2-29 45.45%),53 (0.96),←,
27,"Crocker, Darren",25y 44d,88 (41-1-46 47.16%),51 (0.58),←,
5,"Dennis, Richard",25y 283d,64 (42-0-22 65.63%),44 (0.69),7 (3-0-4 42.86%),4 (0.57)
6,"Fairley, Ian",27y 234d,132 (64-2-66 49.24%),140 (1.06),←,
26,"Ishchenko, Alex",28y 19d,76 (28-0-48 36.84%),26 (0.34),4 (2-0-2 50.00%),1 (0.25)
9,"Larkin, Matthew",27y 264d,154 (79-3-72 52.27%),131 (0.85),←,
35,"Longmire, John",21y 130d,75 (35-1-39 47.33%),235 (3.13),←,
4,"Martyn, Mick",23y 252d,83 (39-1-43 47.59%),9 (0.11),←,
25,"McDonald, Donald",29y 365d,149 (72-3-74 49.33%),159 (1.07),←,
19,"McRae, Dean",23y 179d,73 (32-1-40 44.52%),20 (0.27),←,
3,"Rock, Anthony",21y 223d,46 (23-0-23 50.00%),47 (1.02),←,
36,"Romero, Jose",20y 282d,53 (27-0-26 50.94%),75 (1.42),←,
2,"Schwass, Wayne",23y 164d,68 (32-0-36 47.06%),36 (0.53),←,
24,"Sholl, Craig",24y 131d,50 (27-0-23 54.00%),11 (0.22),←,
15,"Smith, Ross",27y 96d,140 (64-2-74 46.43%),28 (0.20),←,
32,"Smith, Shaun",22y 322d,43 (27-1-15 63.95%),34 (0.79),←,
10,"Stevens, Anthony",20y 312d,32 (15-0-17 46.88%),11 (0.34),←,
Totals,Totals,24y 185d,1511 (736-17-758 48.71%),1204 (0.80),,
C,"Schimmelbusch, Wayne",39y 111d,51 (27-0-24 52.94%),,←,
