Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details,Western Bulldogs Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Western Bulldogs Games (W-D-L W%),Western Bulldogs Goals (Ave.)
31,"Alvey, Mark",20y 356d,16 (10-0-6 62.50%),5 (0.31),←,
18,"Bartlett, Trent",24y 187d,70 (34-2-34 50.00%),39 (0.56),31 (16-0-15 51.61%),31 (1.00)
17,"Brown, Nathan",23y 111d,81 (47-1-33 58.64%),78 (0.96),←,
26,"Cox, Simon",24y 127d,52 (25-0-27 48.08%),22 (0.42),←,
16,"Croft, Matthew",28y 95d,137 (79-3-55 58.76%),49 (0.36),←,
11,"Curley, Todd",28y 138d,109 (57-2-50 53.21%),44 (0.40),106 (55-2-49 52.83%),43 (0.41)
14,"Darcy, Luke",25y 324d,121 (66-2-53 55.37%),83 (0.69),←,
10,"Eagleton, Nathan",22y 203d,89 (43-2-44 49.44%),70 (0.79),33 (17-0-16 51.52%),25 (0.76)
32,"Ellis, Craig",25y 362d,95 (51-1-43 54.21%),5 (0.05),←,
4,"Garlick, Simon",26y 52d,121 (69-1-51 57.44%),90 (0.74),77 (45-1-31 59.09%),63 (0.82)
3,"Grant, Chris",28y 170d,240 (129-4-107 54.58%),452 (1.88),←,
8,"Hahn, Mitch",20y 22d,14 (10-0-4 71.43%),1 (0.07),←,
22,"Harrison, Ben",26y 135d,86 (43-0-43 50.00%),44 (0.51),10 (5-0-5 50.00%),5 (0.50)
9,"Hudson, Paul",30y 316d,230 (137-1-92 59.78%),463 (2.01),96 (57-1-38 59.90%),199 (2.07)
25,"Hunter, Kingsley",26y 5d,68 (27-0-41 39.71%),99 (1.46),27 (13-0-14 48.15%),13 (0.48)
6,"Johnson, Brad",24y 318d,155 (82-3-70 53.87%),156 (1.01),←,
35,"Kretiuk, Steven",28y 332d,134 (78-2-54 58.96%),10 (0.07),←,
39,"Liberatore, Tony",35y 110d,255 (138-3-114 54.71%),94 (0.37),←,
27,"Penny, Luke",20y 113d,18 (9-0-9 50.00%),3 (0.17),←,
30,"Robbins, Matthew",24y 24d,40 (23-1-16 58.75%),12 (0.30),33 (19-1-13 59.09%),12 (0.36)
5,"Smith, Rohan",28y 1d,180 (98-3-79 55.28%),177 (0.98),←,
7,"West, Scott",26y 199d,180 (95-2-83 53.33%),72 (0.40),←,
Totals,Totals,25y 334d,2491 (1350-33-1108 54.20%),2068 (0.83),,
C,"Wallace, Terry",42y 170d,115 (66-1-48 57.83%),,←,
