Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details,Richmond Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Richmond Games (W-D-L W%),Richmond Goals (Ave.)
15,"Banik, Anthony",18y 212d,36 (11-0-25 30.56%),,←,
46,"Campbell, Wayne",18y 328d,11 (5-0-6 45.45%),4 (0.36),←,
16,"Cloke, David",36y 201d,331 (186-2-143 56.50%),315 (0.95),217 (122-2-93 56.68%),264 (1.22)
30,"Free, Tony",22y 51d,69 (22-0-47 31.88%),23 (0.33),←,
25,"Gale, Brendon",23y 30d,41 (13-0-28 31.71%),37 (0.90),←,
24,"Goodwin, Andy",28y 49d,54 (17-0-37 31.48%),9 (0.17),←,
34,"Hogg, Jeff",24y 306d,105 (32-0-73 30.48%),195 (1.86),←,
2,"Keays, Terry",21y 106d,34 (14-0-20 41.18%),38 (1.12),14 (5-0-9 35.71%),27 (1.93)
33,"Knights, Matthew",20y 316d,65 (20-0-45 30.77%),43 (0.66),←,
4,"Lambert, Craig",22y 316d,80 (23-0-57 28.75%),32 (0.40),←,
26,"Leys, Brian",23y 191d,65 (22-0-43 33.85%),6 (0.09),←,
7,"Mitchell, Michael",29y 265d,80 (24-0-56 30.00%),103 (1.29),←,
39,"Mrakov, John",22y 273d,11 (4-0-7 36.36%),,8 (3-0-5 37.50%),
6,"Naish, Chris",19y 324d,23 (7-0-16 30.43%),36 (1.57),←,
35,"Pickering, Michael",27y 260d,134 (45-0-89 33.58%),159 (1.19),←,
21,"Powell, Tim",23y 125d,47 (14-0-33 29.79%),34 (0.72),←,
8,"Ryan, Stephen",21y 42d,32 (10-0-22 31.25%),33 (1.03),←,
41,"Turner, Scott",21y 78d,20 (6-0-14 30.00%),6 (0.30),←,
51,"Walker, Robert",21y 150d,2 (2-0-0 100.00%),,←,
3,"Weightman, Dale",31y 318d,249 (113-2-134 45.78%),325 (1.31),←,
Totals,Totals,23y 361d,1489 (590-4-895 39.62%),1398 (0.94),,
C,"Bartlett, Kevin",44y 164d,86 (26-0-60 30.23%),,←,
