Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Ah Chee, Callum",9,6,3,12,1,2.0,,3.0,1.0,,1.0,1.0,1.0,,,5.0,7.0,2.0,2.0,3.0,,,78.0
9,"Ainsworth, Ben",16,5,4,20,,1.0,,3.0,1.0,6.0,3.0,1.0,3.0,1.0,,5.0,15.0,,,,,,84.0
31,"Ballard, Charlie",11,5,2,13,,1.0,,1.0,2.0,,,3.0,1.0,2.0,,3.0,9.0,,,4.0,,,78.0
29,"Bowes, Jack",9,6,3,12,,,,2.0,1.0,2.0,1.0,4.0,,2.0,,3.0,11.0,,,1.0,,,86.0
41,"Brodie, Will",10,6,4,14,,,,2.0,3.0,3.0,4.0,2.0,,1.0,,5.0,9.0,,,1.0,,,79.0
12,"Day, Sam",5,4,4,9,1,,5.0,2.0,,3.0,1.0,1.0,,1.0,,6.0,3.0,3.0,1.0,,,,87.0
33,"Hall, Aaron",8,5,,8,,,,,2.0,1.0,,2.0,,1.0,,1.0,7.0,,,,,,28.0
5,"Harbrow, Jarrod",13,6,5,18,,,,2.0,3.0,1.0,,3.0,1.0,2.0,,3.0,14.0,,,2.0,,,90.0
40,"Heron, Jacob",3,2,5,8,,,,,,1.0,,,,,,5.0,3.0,1.0,,1.0,,,76.0
39,"Holman, Nick",10,6,9,19,,,,6.0,3.0,2.0,3.0,2.0,1.0,1.0,,8.0,11.0,,,2.0,,,85.0
38,"Joyce, Jesse",6,7,3,9,,,,,2.0,,,1.0,,,,1.0,9.0,,,,,,81.0
19,"Lynch, Tom",7,6,4,11,1,3.0,,,,2.0,,3.0,,1.0,,4.0,6.0,2.0,3.0,1.0,,,93.0
4,"Martin, Jack",10,5,4,14,,3.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,7.0,8.0,,1.0,,1.0,,91.0
17,"May, Steven",14,10,1,15,,,,2.0,9.0,,,3.0,1.0,3.0,,5.0,9.0,4.0,,8.0,,,85.0
11,"Miller, Touk",15,3,12,27,1,,,3.0,3.0,4.0,7.0,3.0,6.0,1.0,,15.0,12.0,,,1.0,,,92.0
35,"Rischitelli, Michael",7,5,4,11,,,,3.0,3.0,1.0,,1.0,,1.0,,1.0,10.0,,,3.0,,,94.0
6,"Sexton, Alex",9,7,3,12,,,,,,5.0,,2.0,,1.0,,3.0,10.0,,,1.0,1.0,,89.0
24,"Swallow, David",12,9,11,23,,,,3.0,1.0,4.0,3.0,3.0,2.0,1.0,,6.0,16.0,,1.0,,,2.0,86.0
16,"Thompson, Rory",9,4,2,11,,,,2.0,2.0,,,2.0,,1.0,,4.0,3.0,2.0,,6.0,,,95.0
14,"Weller, Lachie",7,4,7,14,,,,4.0,2.0,3.0,,1.0,1.0,,,5.0,8.0,,,1.0,,,86.0
28,"Witts, Jarrod",6,2,5,11,,,47.0,,,2.0,3.0,2.0,2.0,1.0,,8.0,5.0,,,3.0,,1.0,86.0
15,"Young, Aaron",4,3,2,6,,1.0,,2.0,1.0,,1.0,,,,,2.0,4.0,,,,,,50.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,200,116,97,297,4,12.0,52.0,41.0,41.0,41.0,29.0,42.0,20.0,22.0,,105.0,189.0,14.0,8.0,38.0,2.0,3.0,
Opposition,Opposition,230,117,206,436,17,19.0,22.0,46.0,34.0,62.0,31.0,43.0,22.0,20.0,6.0,122.0,311.0,10.0,19.0,35.0,19.0,12.0,
