Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game],Essendon Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
24,"Bryan, Nick",3,1,2,5,,,14.0,2.0,,3.0,1.0,1.0,1.0,,,2.0,3.0,,,2.0,,1.0,55.0
6,"Caldwell, Jye",7,2,10,17,,,,4.0,2.0,3.0,4.0,2.0,1.0,1.0,,12.0,5.0,,,1.0,,,67.0
42,"DAmbrosio, Massimo",6,5,3,9,2,,,3.0,,1.0,,2.0,,1.0,,4.0,5.0,2.0,2.0,,,,75.0
2,"Draper, Sam",4,1,1,5,,,32.0,1.0,,,2.0,4.0,,2.0,,3.0,2.0,1.0,,4.0,,,74.0
22,"Durham, Sam",10,5,6,16,,,,,,3.0,,2.0,,,,6.0,10.0,,,3.0,,,80.0
35,"Guelfi, Matt",4,3,4,8,,,,2.0,1.0,1.0,,3.0,,1.0,,1.0,6.0,1.0,,,,1.0,81.0
21,"Heppell, Dyson",11,7,10,21,,1.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,6.0,15.0,,,1.0,,,83.0
19,"Hind, Nick",10,3,2,12,1,1.0,,3.0,1.0,5.0,1.0,,,,,2.0,10.0,,,2.0,1.0,2.0,81.0
8,"Hobbs, Ben",,,,,,,,,,,,,,,,,,,,,,,
29,"Kelly, Jake",10,5,2,12,,,,1.0,3.0,1.0,,1.0,1.0,,,3.0,9.0,,,2.0,,,81.0
4,"Langford, Kyle",6,4,3,9,1,1.0,,2.0,2.0,2.0,,2.0,,,,1.0,10.0,,1.0,,,,86.0
15,"Laverde, Jayden",16,10,4,20,,,,2.0,3.0,1.0,,4.0,1.0,2.0,,2.0,17.0,,,2.0,,,90.0
37,"Martin, Nic",8,8,14,22,1,,,,1.0,2.0,1.0,2.0,,1.0,,7.0,16.0,,,5.0,1.0,,91.0
1,"McGrath, Andrew",12,7,14,26,,,,4.0,5.0,3.0,3.0,2.0,1.0,,,8.0,18.0,,,1.0,,,82.0
7,"Merrett, Zach",14,2,12,26,,,,3.0,2.0,4.0,4.0,4.0,2.0,,,10.0,18.0,,,6.0,1.0,,85.0
3,"Parish, Darcy",15,5,14,29,1,,,3.0,,6.0,4.0,4.0,1.0,1.0,,11.0,18.0,,,,,,81.0
16,"Perkins, Archie",8,6,3,11,2,1.0,,2.0,1.0,1.0,,2.0,,2.0,,2.0,9.0,1.0,4.0,,,,80.0
27,"Redman, Mason",17,7,2,19,,,,1.0,5.0,1.0,,4.0,1.0,2.0,,3.0,13.0,,,2.0,1.0,1.0,86.0
14,"Ridley, Jordan",18,9,12,30,,,,1.0,4.0,,,4.0,,,,10.0,16.0,3.0,,3.0,1.0,,91.0
9,"Shiel, Dylan",7,,20,27,,,,10.0,,2.0,12.0,,6.0,,,19.0,10.0,,,2.0,,2.0,78.0
25,"Stringer, Jake",11,,11,22,,2.0,,1.0,,5.0,3.0,4.0,1.0,1.0,,8.0,11.0,,,,,,84.0
20,"Wright, Peter",4,1,4,8,1,,4.0,2.0,,2.0,,3.0,1.0,,,3.0,6.0,,,5.0,,1.0,98.0
30,"Zerk-Thatcher, Brandon",12,10,1,13,,,,1.0,4.0,,,,,,,2.0,11.0,1.0,,4.0,,,88.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,213,101,154,367,9,8.0,50.0,49.0,36.0,47.0,37.0,51.0,18.0,14.0,,125.0,238.0,9.0,7.0,45.0,5.0,8.0,
Opposition,Opposition,239,117,186,425,23,8.0,9.0,56.0,37.0,61.0,28.0,64.0,14.0,18.0,6.0,136.0,284.0,12.0,20.0,49.0,6.0,16.0,
