Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game],Melbourne Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
17,"Bowey, Jake",9,5,3,12,,,,1.0,3.0,,,2.0,,,,4.0,7.0,1.0,,1.0,,,72.0
37,"Chandler, Kade",10,8,5,15,,,,4.0,1.0,2.0,,2.0,1.0,,,4.0,12.0,1.0,,,,,78.0
31,"Fritsch, Bayley",10,5,1,11,3,1.0,,1.0,,3.0,,2.0,,,,6.0,5.0,,2.0,1.0,,1.0,93.0
11 ↓,"Gawn, Max",6,4,5,11,1,,21.0,1.0,1.0,,4.0,3.0,,,,8.0,2.0,2.0,1.0,4.0,,,64.0
15,"Langdon, Ed",13,7,9,22,1,,,2.0,3.0,1.0,2.0,3.0,,,2.0,8.0,15.0,,1.0,1.0,2.0,,100.0
8,"Lever, Jake",7,6,5,12,,,,1.0,,1.0,,,,,,3.0,9.0,,,4.0,,,91.0
1,"May, Steven",14,8,1,15,,,,1.0,7.0,2.0,,1.0,,1.0,,3.0,7.0,2.0,,5.0,2.0,2.0,95.0
25,"McDonald, Tom",15,7,7,22,,,,1.0,2.0,1.0,,2.0,,,,6.0,16.0,1.0,,7.0,,,92.0
4,"McVee, Judd",13,5,9,22,,,,1.0,3.0,2.0,2.0,1.0,1.0,,,10.0,12.0,,,2.0,,1.0,84.0
18,"Melksham, Jake",9,9,,9,2,1.0,,,,3.0,,2.0,,1.0,,1.0,8.0,1.0,4.0,,,2.0,75.0
45,"Moniz-Wakefield, Andy",9,3,7,16,,,,6.0,1.0,2.0,,5.0,,1.0,,3.0,11.0,,,1.0,,,76.0
30,"Neal-Bullen, Alex",10,5,10,20,,,,4.0,,6.0,1.0,5.0,1.0,3.0,,9.0,15.0,,,,,,85.0
13,"Oliver, Clayton",5,1,9,14,,,,3.0,1.0,1.0,5.0,2.0,,1.0,,9.0,5.0,,,,,,76.0
36,"Pickett, Kysaiah",12,4,1,13,2,1.0,,2.0,,2.0,,6.0,,1.0,,4.0,8.0,1.0,3.0,,,1.0,75.0
24,"Rivers, Trent",20,9,9,29,,,,5.0,5.0,5.0,7.0,3.0,1.0,1.0,3.0,8.0,20.0,,,3.0,1.0,,77.0
3,"Salem, Christian",14,8,9,23,,,,2.0,4.0,2.0,1.0,,2.0,,,7.0,15.0,,,2.0,2.0,,90.0
32,"Sparrow, Tom",9,7,3,12,,1.0,,3.0,4.0,3.0,3.0,1.0,,,,4.0,9.0,,1.0,2.0,,,71.0
39,"Tholstrup, Koltyn",9,5,3,12,2,1.0,,3.0,1.0,1.0,,,1.0,,,4.0,8.0,1.0,2.0,,,1.0,74.0
42,"Turner, Daniel",4,3,4,8,1,,2.0,1.0,,2.0,,1.0,,,,3.0,5.0,1.0,1.0,2.0,,1.0,76.0
2,"van Rooyen, Jacob",11,9,3,14,4,4.0,5.0,2.0,1.0,1.0,,5.0,2.0,2.0,1.0,8.0,7.0,2.0,5.0,,,,75.0
7,"Viney, Jack",11,5,7,18,,,,5.0,,7.0,1.0,6.0,2.0,1.0,,7.0,10.0,1.0,1.0,1.0,,1.0,79.0
6,"Windsor, Caleb",16,7,9,25,1,,,5.0,4.0,2.0,4.0,2.0,1.0,,,10.0,14.0,,,,2.0,,82.0
40 ↑,"Woewodin, Taj",1,1,,1,,,,2.0,,,,,,,,,1.0,,,,,,20.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,237,131,119,356,17,10.0,28.0,56.0,41.0,49.0,30.0,54.0,12.0,12.0,6.0,129.0,221.0,14.0,21.0,36.0,9.0,10.0,
Opposition,Opposition,169,82,111,280,8,10.0,34.0,54.0,30.0,49.0,35.0,43.0,12.0,12.0,,104.0,174.0,10.0,15.0,39.0,6.0,6.0,
