Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details,Port Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Port Adelaide Games (W-D-L W%),Port Adelaide Goals (Ave.)
5,"Bond, Shane",22y 10d,50 (33-0-17 66.00%),27 (0.54),16 (9-0-7 56.25%),7 (0.44)
3,"Breuer, Shayne",24y 312d,87 (55-1-31 63.79%),92 (1.06),16 (9-0-7 56.25%),15 (0.94)
36,"Carter, Stephen",23y 164d,8 (5-0-3 62.50%),,←,
44,"Cotton, Jarrod",21y 107d,3 (2-0-1 66.67%),3 (1.00),←,
6,"Cummings, Scott",23y 182d,55 (34-2-19 63.64%),132 (2.40),15 (9-0-6 60.00%),49 (3.27)
28,"Daniels, Stephen",20y 319d,4 (3-0-1 75.00%),,←,
19,"Dickie, Donald",25y 72d,16 (9-0-7 56.25%),4 (0.25),←,
25,"Eagleton, Nathan",18y 251d,12 (7-0-5 58.33%),7 (0.58),←,
8,"Francis, Fabian",23y 268d,35 (14-0-21 40.00%),21 (0.60),12 (7-0-5 58.33%),4 (0.33)
10,"Francou, Josh",22y 346d,16 (9-0-7 56.25%),12 (0.75),←,
12,"Heaver, Brent",26y 34d,82 (56-1-25 68.90%),125 (1.52),6 (3-0-3 50.00%),7 (1.17)
39,"Heuskes, Adam",21y 121d,65 (34-0-31 52.31%),6 (0.09),16 (9-0-7 56.25%),
38,"James, Roger",21y 271d,12 (7-0-5 58.33%),4 (0.33),←,
20,"Lade, Brendon",21y 9d,16 (9-0-7 56.25%),9 (0.56),←,
9,"Lyle, Brayden",24y 135d,42 (23-0-19 54.76%),9 (0.21),16 (9-0-7 56.25%),4 (0.25)
33,"Mead, Darren",26y 112d,16 (9-0-7 56.25%),1 (0.06),←,
14,"Paxman, Stephen",26y 227d,118 (31-0-87 26.27%),18 (0.15),16 (9-0-7 56.25%),
30,"Poole, Darryl",25y 109d,7 (3-0-4 42.86%),8 (1.14),←,
2,"Primus, Matthew",22y 188d,36 (10-0-26 27.78%),9 (0.25),16 (9-0-7 56.25%),4 (0.25)
1,"Wanganeen, Gavin",24y 31d,142 (82-3-57 58.80%),72 (0.51),15 (9-0-6 60.00%),9 (0.60)
15,"Wilson, Michael",20y 240d,16 (9-0-7 56.25%),10 (0.63),←,
Totals,Totals,23y 63d,838 (444-7-387 52.98%),569 (0.68),,
C,"Cahill, John",57y 83d,63 (36-0-27 57.14%),,16 (9-0-7 56.25%),
