Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game],Brisbane Lions Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
4,"Ah Chee, Callum",9,10,4,13,,,,2.0,5.0,1.0,,3.0,,,,4.0,8.0,3.0,1.0,2.0,,,84.0
33,"Bailey, Zac",6,1,6,12,,,,1.0,1.0,1.0,3.0,5.0,1.0,1.0,,11.0,3.0,,,,,1.0,70.0
14,"Birchall, Grant",11,7,2,13,,,,,2.0,1.0,1.0,,1.0,,,4.0,11.0,,,5.0,,,73.0
23,"Cameron, Charlie",7,,4,11,1,2.0,,5.0,,2.0,,3.0,1.0,1.0,,4.0,8.0,,,,1.0,,83.0
18,"Coleman, Keidean",4,1,2,6,1,,,6.0,,1.0,1.0,2.0,1.0,2.0,,5.0,2.0,,,2.0,,,80.0
28,"Ellis-Yolmen, Cam",3,,5,8,,,,4.0,,1.0,1.0,2.0,1.0,1.0,,5.0,3.0,,,2.0,,,68.0
27,"Gardiner, Darcy",5,3,4,9,,,,1.0,1.0,2.0,,1.0,,,,3.0,6.0,,,8.0,,1.0,97.0
30,"Hipwood, Eric",6,2,3,9,1,,,1.0,,3.0,,1.0,,,,5.0,5.0,1.0,,2.0,,1.0,96.0
35,"Lester, Ryan",8,1,4,12,,,,3.0,2.0,,,2.0,2.0,1.0,,3.0,6.0,1.0,,3.0,,,82.0
17,"Lyons, Jarryd",13,2,7,20,,,,1.0,,5.0,6.0,3.0,,,,8.0,9.0,,,,,,79.0
12,"Martin, Stefan",3,1,5,8,,,13.0,3.0,,2.0,2.0,,1.0,,,6.0,2.0,1.0,,,,1.0,56.0
11,"McCarthy, Lincoln",6,2,3,9,2,1.0,,2.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,8.0,,1.0,2.0,,,78.0
6,"McCluggage, Hugh",11,5,6,17,,3.0,,4.0,2.0,3.0,2.0,2.0,1.0,1.0,,8.0,9.0,,1.0,1.0,,,81.0
46,"McInerney, Oscar",4,1,4,8,,,24.0,1.0,4.0,1.0,5.0,2.0,,,,10.0,1.0,1.0,,5.0,,,75.0
25,"McStay, Daniel",3,1,2,5,,,4.0,3.0,,3.0,,1.0,,,,3.0,2.0,,,2.0,,,90.0
9,"Neale, Lachie",15,3,14,29,,2.0,,1.0,2.0,9.0,5.0,4.0,2.0,,3.0,16.0,12.0,1.0,1.0,,,,93.0
40,"Payne, Jack",2,1,,2,,,,,,1.0,,2.0,,,,1.0,2.0,,,7.0,,,93.0
16,"Rayner, Cam",5,1,6,11,2,,,7.0,,3.0,2.0,1.0,1.0,,,6.0,4.0,,1.0,,,1.0,83.0
10,"Rich, Daniel",15,2,7,22,2,,,1.0,2.0,5.0,1.0,,3.0,,2.0,10.0,9.0,,,1.0,,,87.0
5,"Robinson, Mitch",12,1,2,14,2,1.0,,3.0,2.0,5.0,5.0,4.0,3.0,1.0,,8.0,6.0,,1.0,,,,82.0
37,"Starcevich, Brandon",12,5,4,16,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,9.0,7.0,1.0,,3.0,,1.0,84.0
15,"Zorko, Dayne",13,5,1,14,,1.0,,4.0,1.0,6.0,4.0,1.0,,,,7.0,6.0,,1.0,3.0,,2.0,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,173,55,95,268,11,12.0,41.0,54.0,27.0,61.0,40.0,42.0,20.0,9.0,5.0,138.0,129.0,9.0,7.0,48.0,1.0,8.0,
Opposition,Opposition,173,57,90,263,10,1.0,36.0,71.0,48.0,37.0,39.0,61.0,9.0,20.0,1.0,119.0,131.0,8.0,10.0,47.0,1.0,8.0,
