Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
35,"Akermanis, Jason",7,5,3,10,1,,,,,,,,1.0,1.0,,,,,,,,,
10,"Ashcroft, Marcus",11,1,9,20,,,,2.0,,,,,1.0,,,,,,,,,,
1,"Champion, Richard",13,3,1,14,,3.0,,1.0,,,,,1.0,1.0,,,,,,,,,
5,"Chapman, Nathan",10,6,6,16,,,,1.0,,,,,1.0,1.0,,,,,,,,,
16,"Clarke, Matthew",8,6,7,15,,,17.0,,,,,,2.0,1.0,,,,,,,,,
20,"Craven, Danny",14,2,2,16,,,,3.0,,,,,,,,,,,,,,,
6,"Fletcher, Adrian",14,6,18,32,2,,,,,,,,2.0,1.0,,,,,,,,,
8,"Gowers, Andrew",9,3,8,17,,1.0,,1.0,,,,,,1.0,,,,,,,,,
32,"Hart, Shaun",18,6,9,27,,,,1.0,,,,,,,,,,,,,,,
21,"Hodges, Shane",4,5,8,12,,,,,,,,,2.0,,,,,,,,,,
41,"Kennedy, Matthew",11,4,2,13,,,,1.0,,,,,,2.0,,,,,,,,,
44,"Lappin, Nigel",8,3,3,11,1,,,1.0,,,,,,,,,,,,,,,
34,"Lawrence, Steven",5,3,8,13,,,,,,,,,1.0,2.0,,,,,,,,,
23,"Leppitsch, Justin",2,1,6,8,1,,,,,,,,1.0,4.0,,,,,,,,,
17,"Leslie, Martin",1,,5,6,,,,1.0,,,,,,,,,,,,,,,
2,"McAdam, Gilbert",18,8,12,30,,,,2.0,,,,,1.0,2.0,3.0,,,,,,,,
7,"McIvor, Scott",2,,2,4,2,,,,,,,,2.0,,,,,,,,,,
4,"McRae, Craig",11,2,6,17,1,2.0,,4.0,,,,,3.0,,,,,,,,,,
22,"Scott, Chris",8,4,4,12,,,,,,,,,,,,,,,,,,,
38,"Scott, Dion",8,1,4,12,,2.0,3.0,1.0,,,,,,1.0,,,,,,,,,
33,"White, Darryl",12,7,4,16,5,1.0,1.0,1.0,,,,,,,,,,,,,,,
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,194,76,127,321,13,11.0,21.0,20.0,,,,,18.0,17.0,3.0,,,,,,,,
Opposition,Opposition,205,88,116,321,20,13.0,16.0,23.0,,,,,17.0,18.0,3.0,,,,,,,,
