Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
13,"Ah Chee, Callum",13,3,3,16,,,,1.0,4.0,2.0,1.0,4.0,2.0,1.0,,5.0,9.0,,,3.0,,,67.0
9,"Ainsworth, Ben",8,2,11,19,,1.0,,4.0,2.0,1.0,7.0,,1.0,,,10.0,9.0,,,1.0,,,73.0
31,"Ballard, Charlie",7,5,2,9,,1.0,,1.0,,1.0,,1.0,1.0,,,4.0,5.0,1.0,,2.0,,,72.0
29,"Bowes, Jack",7,3,2,9,,,,2.0,3.0,,,1.0,,,,2.0,7.0,,,2.0,,,78.0
32,"Crossley, Brayden",4,3,4,8,,,8.0,1.0,,,,1.0,3.0,,,4.0,5.0,,,2.0,,,87.0
12,"Day, Sam",6,5,8,14,2,2.0,1.0,4.0,1.0,4.0,,3.0,2.0,,,9.0,6.0,1.0,1.0,1.0,,1.0,87.0
33,"Hall, Aaron",18,8,5,23,1,,,3.0,8.0,3.0,3.0,3.0,2.0,2.0,,7.0,17.0,1.0,,2.0,1.0,1.0,85.0
5,"Harbrow, Jarrod",8,,10,18,,,,4.0,3.0,2.0,,6.0,,,,4.0,13.0,,,,,,93.0
39,"Holman, Nick",3,4,7,10,1,,,1.0,1.0,2.0,,2.0,1.0,1.0,,5.0,6.0,1.0,,1.0,1.0,,75.0
21,"Leslie, Jack",4,3,2,6,,,,3.0,3.0,,,1.0,,,,1.0,5.0,,,5.0,,,89.0
25,"Lyons, Jarryd",11,6,11,22,,,,4.0,4.0,2.0,4.0,5.0,1.0,3.0,,11.0,11.0,,,1.0,,,73.0
4,"Martin, Jack",15,5,4,19,4,,,2.0,2.0,3.0,2.0,5.0,2.0,2.0,,10.0,8.0,2.0,2.0,,,,87.0
17,"May, Steven",16,8,5,21,1,,,2.0,6.0,1.0,,3.0,,1.0,,6.0,12.0,,,9.0,3.0,,91.0
11,"Miller, Touk",10,4,18,28,,1.0,,8.0,3.0,1.0,4.0,4.0,2.0,2.0,,16.0,14.0,1.0,,2.0,,1.0,86.0
35,"Rischitelli, Michael",8,2,4,12,,,,1.0,5.0,1.0,1.0,2.0,,1.0,,4.0,8.0,,,2.0,,,80.0
18,"Scheer, Brad",13,3,5,18,,,,1.0,1.0,4.0,2.0,4.0,1.0,2.0,,8.0,12.0,,,,,2.0,78.0
6,"Sexton, Alex",9,6,3,12,1,2.0,,,,5.0,,2.0,,1.0,,,12.0,,1.0,1.0,,1.0,86.0
24,"Swallow, David",5,,7,12,,,,3.0,,1.0,2.0,,,,,10.0,2.0,,,1.0,,,63.0
16,"Thompson, Rory",3,1,2,5,,,,1.0,3.0,1.0,,4.0,,2.0,,2.0,4.0,,,5.0,,,92.0
14,"Weller, Lachie",16,4,3,19,,,,2.0,6.0,5.0,1.0,2.0,1.0,1.0,,6.0,12.0,,,1.0,,,86.0
28,"Witts, Jarrod",4,2,7,11,,,29.0,6.0,,2.0,3.0,3.0,1.0,2.0,,7.0,5.0,,,2.0,,,86.0
15,"Young, Aaron",9,2,9,18,1,2.0,,1.0,,2.0,2.0,6.0,1.0,2.0,,11.0,7.0,,,1.0,,1.0,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,197,79,132,329,11,11.0,38.0,55.0,55.0,43.0,32.0,62.0,21.0,23.0,,142.0,189.0,7.0,4.0,44.0,5.0,7.0,
Opposition,Opposition,227,91,199,426,21,20.0,47.0,65.0,24.0,83.0,49.0,49.0,23.0,21.0,6.0,155.0,283.0,14.0,19.0,39.0,6.0,19.0,
