Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
30,"Adams, Taylor",18y 299d,10 (1-0-9 10.00%),3 (0.30),←,
10,"Brogan, Dean",33y 214d,181 (99-1-81 54.97%),50 (0.28),7 (0-0-7 0.00%),
18,"Cameron, Jeremy",19y 105d,13 (1-0-12 7.69%),22 (1.69),←,
24,"Clifton, Steve",25y 49d,1 (0-0-1 0.00%),,←,
3,"Coniglio, Stephen",18y 213d,11 (1-0-10 9.09%),2 (0.18),←,
11,"Cornes, Chad",32y 246d,251 (134-1-116 53.59%),178 (0.71),12 (1-0-11 8.33%),3 (0.25)
13,"Darley, Sam",19y 151d,6 (0-0-6 0.00%),,←,
1,"Davis, Phil",21y 320d,33 (12-0-21 36.36%),5 (0.15),15 (1-0-14 6.67%),4 (0.27)
22,"Edwards, Shaun",18y 215d,7 (0-0-7 0.00%),1 (0.14),←,
4,"Folau, Israel",23y 103d,8 (1-0-7 12.50%),1 (0.13),←,
35,"Greene, Toby",18y 294d,13 (1-0-12 7.69%),5 (0.38),←,
2,"Hampton, Curtly",19y 127d,10 (0-0-10 0.00%),5 (0.50),←,
19,"Haynes, Nick",20y 58d,3 (0-0-3 0.00%),1 (0.33),←,
40,"Kennedy, Adam",20y 3d,10 (1-0-9 10.00%),,←,
7,"Palmer, Rhys",23y 153d,65 (22-0-43 33.85%),28 (0.43),12 (1-0-11 8.33%),5 (0.42)
12,"Patton, Jonathon",19y 56d,5 (0-0-5 0.00%),3 (0.60),←,
6,"Power, Luke",32y 189d,295 (153-3-139 52.37%),226 (0.77),13 (1-0-12 7.69%),
9,"Scully, Tom",21y 61d,44 (14-1-29 32.95%),8 (0.18),13 (1-0-12 7.69%),2 (0.15)
34,"Smith, Devon",19y 56d,14 (1-0-13 7.14%),3 (0.21),←,
17,"Treloar, Adam",19y 128d,12 (1-0-11 8.33%),6 (0.50),←,
8,"Ward, Callan",22y 96d,75 (33-0-42 44.00%),40 (0.53),15 (1-0-14 6.67%),7 (0.47)
16,"Wilson, Nathan",19y 190d,7 (0-0-7 0.00%),6 (0.86),←,
Totals,Totals,22y 35d,1074 (475-6-593 44.23%),593 (0.55),,
C,"Sheedy, Kevin",64y 204d,649 (387-6-256 60.09%),,15 (1-0-14 6.67%),
