Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
20,"Ablett, Luke",11,,,11,,,,7.0,,1.0,7.0,3.0,,2.0,,7.0,3.0,,,1.0,,,73.0
21,"Barry, Leo",9,5,5,14,,,,,2.0,1.0,1.0,3.0,,2.0,,2.0,12.0,,,4.0,,,96.0
42,"Bevan, Paul",10,5,2,12,,,,8.0,4.0,1.0,1.0,3.0,1.0,1.0,,2.0,9.0,,,3.0,,,91.0
6,"Bolton, Craig",10,3,1,11,,,,4.0,4.0,2.0,1.0,,2.0,,,4.0,7.0,,,1.0,,,92.0
24,"Bolton, Jude",12,2,5,17,,,1.0,10.0,,6.0,7.0,4.0,2.0,,,10.0,6.0,,,2.0,,1.0,87.0
32,"Buchanan, Amon",14,8,13,27,,,,2.0,1.0,4.0,7.0,4.0,1.0,1.0,,11.0,15.0,,2.0,,1.0,,78.0
28,"Crouch, Jared",5,,6,11,,,,2.0,2.0,,1.0,2.0,2.0,2.0,,10.0,,,,2.0,,,94.0
10,"Everitt, Peter",2,,1,3,,,14.0,1.0,,1.0,1.0,1.0,2.0,,,3.0,,,,1.0,,,38.0
37,"Goodes, Adam",12,4,1,13,3,2.0,,2.0,1.0,2.0,,,1.0,,,5.0,6.0,1.0,2.0,2.0,,2.0,96.0
1,"Hall, Barry",10,8,2,12,3,2.0,,1.0,,4.0,,2.0,,1.0,,7.0,5.0,4.0,4.0,,,1.0,99.0
15,"Jack, Kieren",10,2,5,15,3,,1.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,,8.0,7.0,,,2.0,,,81.0
16,"Jolly, Darren",3,3,3,6,,,40.0,2.0,1.0,4.0,,4.0,,2.0,,2.0,4.0,,,3.0,,2.0,66.0
17,"Kennelly, Tadhg",4,1,7,11,,,,,2.0,,,1.0,,,,2.0,7.0,,,1.0,,,92.0
31,"Kirk, Brett",12,1,10,22,,,,8.0,1.0,,9.0,4.0,3.0,2.0,,14.0,9.0,,,1.0,,,83.0
9,"Malceski, Nick",8,5,2,10,1,,,1.0,4.0,2.0,,1.0,,,,4.0,7.0,1.0,1.0,,1.0,,72.0
29,"Mattner, Martin",11,4,4,15,,,,6.0,3.0,2.0,1.0,4.0,2.0,,,5.0,9.0,,,3.0,,,92.0
3,"McVeigh, Jarrad",13,2,12,25,1,,,1.0,2.0,2.0,8.0,,1.0,,,20.0,4.0,,,,,2.0,80.0
33,"Moore, Jarred",8,3,3,11,2,,,,,2.0,1.0,3.0,,2.0,,2.0,8.0,,2.0,,,,66.0
5,"OKeefe, Ryan",12,9,1,13,2,,,,,8.0,,1.0,,1.0,,7.0,6.0,4.0,2.0,2.0,,2.0,99.0
25,"Richards, Ted",12,8,6,18,1,,,2.0,4.0,2.0,,2.0,2.0,2.0,,9.0,8.0,1.0,,6.0,,,87.0
30,"Roberts-Thomson, Lewis",5,4,1,6,,,1.0,1.0,4.0,,,1.0,,1.0,,2.0,5.0,,,6.0,,,82.0
13,"Veszpremi, Patrick",6,2,2,8,1,3.0,,1.0,,1.0,,,,,,3.0,4.0,,1.0,,,,55.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,199,79,92,291,17,8.0,57.0,62.0,38.0,48.0,49.0,44.0,20.0,20.0,,139.0,141.0,11.0,14.0,40.0,2.0,10.0,
Opposition,Opposition,167,58,97,264,11,9.0,39.0,76.0,27.0,49.0,31.0,45.0,20.0,20.0,,113.0,148.0,8.0,11.0,50.0,1.0,6.0,
