Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
19,"Beveridge, Luke",24y 340d,72 (43-1-28 60.42%),70 (0.97),30 (19-1-10 65.00%),29 (0.97)
18,"Cameron, Leon",22y 330d,102 (54-2-46 53.92%),44 (0.43),←,
20,"Ellen, Shane",22y 209d,5 (3-0-2 60.00%),,←,
3,"Grant, Chris",22y 228d,116 (63-2-51 55.17%),255 (2.20),←,
1,"Grgic, Ilija",23y 146d,47 (28-1-18 60.64%),74 (1.57),←,
29,"Griffin, Daryl",19y 187d,9 (5-1-3 61.11%),,←,
37,"Hargraves, Daniel",19y 186d,11 (7-0-4 63.64%),12 (1.09),←,
10,"Hunter, Mark",29y 329d,120 (59-2-59 50.00%),9 (0.08),←,
4,"Kellett, Nigel",25y 223d,72 (39-1-32 54.86%),30 (0.42),←,
2,"Kolyniuk, Steven",25y 24d,103 (53-1-49 51.94%),120 (1.17),←,
12,"Koster, Kym",22y 178d,32 (18-1-13 57.81%),10 (0.31),←,
39,"Liberatore, Tony",29y 168d,145 (81-2-62 56.55%),71 (0.49),←,
9,"Nicholson, Brad",21y 55d,23 (13-1-9 58.70%),1 (0.04),←,
44,"Osborne, Richard",31y 43d,238 (101-1-136 42.65%),524 (2.20),35 (20-1-14 58.57%),74 (2.11)
22,"Quill, Peter",25y 340d,38 (24-1-13 64.47%),15 (0.39),←,
11,"Romero, Jose",23y 362d,104 (57-0-47 54.81%),108 (1.04),15 (8-0-7 53.33%),10 (0.67)
5,"Smith, Rohan",22y 59d,47 (28-1-18 60.64%),23 (0.49),←,
8,"Southern, Daniel",20y 209d,38 (19-1-18 51.32%),8 (0.21),←,
17,"Standfield, Barry",25y 166d,91 (51-1-39 56.59%),37 (0.41),←,
7,"West, Scott",20y 257d,57 (31-1-25 55.26%),33 (0.58),←,
15,"Wynd, Scott",25y 185d,120 (62-2-56 52.50%),23 (0.19),←,
Totals,Totals,24y 10d,1590 (839-23-728 52.77%),1467 (0.92),,
C,"Joyce, Alan",52y 281d,132 (88-1-43 67.05%),,39 (21-1-17 55.13%),
