Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",24y 101d,95 (46-2-47 49.47%),57 (0.60),←,
18,"Cameron, Leon",20y 213d,44 (22-1-21 51.14%),19 (0.43),←,
20,"Coleman, Glenn",32y 59d,192 (105-2-85 55.21%),115 (0.60),67 (37-1-29 55.97%),51 (0.76)
26,"Del-Re, Danny",25y 50d,47 (27-1-19 58.51%),109 (2.32),←,
28,"Grgic, Ilija",21y 29d,1 (1-0-0 100.00%),2 (2.00),←,
7,"Hawkins, Doug",32y 333d,290 (122-4-164 42.76%),204 (0.70),←,
10,"Hunter, Mark",27y 212d,76 (35-2-39 47.37%),2 (0.03),←,
4,"Kellett, Nigel",23y 106d,39 (21-0-18 53.85%),15 (0.38),←,
21,"Kolyniuk, Steven",22y 272d,65 (33-1-31 51.54%),81 (1.25),←,
35,"Kretiuk, Steven",20y 273d,13 (9-0-4 69.23%),3 (0.23),←,
39,"Liberatore, Tony",27y 51d,86 (49-1-36 57.56%),52 (0.60),←,
27,"Macpherson, Stephen",28y 122d,164 (81-3-80 50.30%),148 (0.90),←,
25,"Mansfield, Matthew",23y 283d,26 (17-0-9 65.38%),5 (0.19),←,
2,"Reynolds, Keenan",24y 86d,44 (25-0-19 56.82%),6 (0.14),←,
5,"Smith, Rohan",19y 307d,16 (12-0-4 75.00%),13 (0.81),←,
17,"Standfield, Barry",23y 49d,34 (20-0-14 58.82%),9 (0.26),←,
8,"Toohey, Bernard",30y 44d,247 (127-1-119 51.62%),113 (0.46),24 (17-0-7 70.83%),2 (0.08)
24,"Wallis, Stephen",28y 158d,203 (107-2-94 53.20%),52 (0.26),←,
14,"West, Scott",18y 140d,2 (1-0-1 50.00%),1 (0.50),←,
15,"Wynd, Scott",23y 68d,81 (41-1-39 51.23%),11 (0.14),←,
Totals,Totals,24y 312d,1765 (901-21-843 51.05%),1017 (0.58),,
C,"Wheeler, Terry",38y 21d,71 (39-1-31 55.63%),,←,
