Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details,Footscray Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Footscray Games (W-D-L W%),Footscray Goals (Ave.)
23,"Atkins, Simon",25y 164d,116 (57-2-57 50.00%),68 (0.59),←,
18,"Cameron, Leon",21y 276d,71 (36-1-34 51.41%),31 (0.44),←,
16,"Croft, Matthew",21y 99d,11 (5-0-6 45.45%),13 (1.18),←,
32,"Ellis, Craig",19y 1d,6 (2-0-4 33.33%),,←,
3,"Grant, Chris",21y 174d,86 (46-1-39 54.07%),171 (1.99),←,
1,"Grgic, Ilija",22y 92d,19 (10-0-9 52.63%),36 (1.89),←,
7,"Hawkins, Doug",34y 31d,317 (135-4-178 43.22%),214 (0.68),←,
10,"Hunter, Mark",28y 275d,100 (47-2-51 48.00%),5 (0.05),←,
4,"Kellett, Nigel",24y 169d,57 (30-0-27 52.63%),22 (0.39),←,
12,"Koster, Kym",21y 124d,9 (3-0-6 33.33%),4 (0.44),←,
35,"Kretiuk, Steven",21y 336d,27 (16-0-11 59.26%),7 (0.26),←,
39,"Liberatore, Tony",28y 114d,114 (63-1-50 55.70%),64 (0.56),←,
9,"Nicholson, Brad",20y 1d,11 (6-0-5 54.55%),1 (0.09),←,
22,"Quill, Peter",24y 286d,21 (11-0-10 52.38%),6 (0.29),←,
34,"Sexton, Ben",21y 219d,30 (15-1-14 51.67%),26 (0.87),←,
5,"Smith, Rohan",21y 5d,23 (15-0-8 65.22%),18 (0.78),←,
8,"Southern, Daniel",19y 155d,10 (4-0-6 40.00%),3 (0.30),←,
17,"Standfield, Barry",24y 112d,62 (34-0-28 54.84%),24 (0.39),←,
25,"Watts, Jason",22y 311d,10 (4-0-6 40.00%),2 (0.20),←,
14,"West, Scott",19y 203d,26 (13-0-13 50.00%),23 (0.88),←,
15,"Wynd, Scott",24y 131d,102 (51-1-50 50.49%),14 (0.14),←,
Totals,Totals,23y 87d,1228 (603-13-612 49.10%),752 (0.61),,
C,"Joyce, Alan",51y 227d,101 (70-0-31 69.31%),,8 (3-0-5 37.50%),
