Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details,Fitzroy Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fitzroy Games (W-D-L W%),Fitzroy Goals (Ave.)
23,"Atkins, Simon",27y 119d,153 (65-2-86 43.14%),84 (0.55),26 (2-0-24 7.69%),8 (0.31)
32,"Baldwin, Jason",26y 165d,118 (37-0-81 31.36%),35 (0.30),←,
22,"Bamford, Scott",21y 302d,4 (0-0-4 0.00%),,←,
14,"Bizzotto, Frank",24y 326d,35 (8-0-27 22.86%),4 (0.11),←,
1,"Boyd, Brad",24y 254d,57 (15-0-42 26.32%),46 (0.81),←,
27,"Chandler, Brett",20y 284d,15 (1-0-14 6.67%),2 (0.13),←,
35,"Cook, Brett",23y 1d,24 (1-0-23 4.17%),7 (0.29),←,
24,"Cummings, Trent",22y 114d,18 (3-0-15 16.67%),16 (0.89),←,
31,"Dent, Matthew",24y 94d,30 (3-0-27 10.00%),4 (0.13),←,
20,"Dwyer, Mick",27y 156d,82 (30-1-51 37.20%),61 (0.74),2 (0-0-2 0.00%),
17,"Hawking, Simon",23y 46d,48 (11-0-37 22.92%),20 (0.42),←,
10,"Hogg, Jeff",29y 188d,174 (45-0-129 25.86%),345 (1.98),30 (4-0-26 13.33%),39 (1.30)
2,"Johnson, Chris",19y 326d,41 (6-0-35 14.63%),52 (1.27),←,
25,"McCarthy, John",29y 21d,148 (51-1-96 34.80%),168 (1.14),56 (13-0-43 23.21%),67 (1.20)
11,"McGregor, Anthony",23y 290d,36 (10-0-26 27.78%),9 (0.25),←,
7,"Molloy, Jarrod",19y 344d,44 (7-0-37 15.91%),52 (1.18),←,
4,"Paxman, Stephen",25y 138d,85 (21-0-64 24.71%),14 (0.16),←,
8,"Pike, Martin",23y 158d,42 (11-0-31 26.19%),35 (0.83),18 (1-0-17 5.56%),10 (0.56)
12,"Primus, Matthew",21y 99d,2 (0-0-2 0.00%),1 (0.50),←,
37,"Rombotis, John",19y 190d,8 (1-0-7 12.50%),5 (0.63),←,
33,"Warfe, Rowan",19y 302d,14 (1-0-13 7.14%),1 (0.07),←,
Totals,Totals,23y 256d,1178 (327-4-847 27.76%),961 (0.82),,
C,"Nunan, Michael",47y 8d,4 (0-0-4 0.00%),,←,
