Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game],Greater Western Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
30,"Adams, Taylor",6,1,8,14,,,,5.0,1.0,4.0,3.0,3.0,1.0,2.0,,8.0,6.0,,,2.0,,,77.0
14,"Bugg, Tomas",7,5,6,13,,,,4.0,1.0,,2.0,1.0,1.0,1.0,,4.0,10.0,,,6.0,,,85.0
18,"Cameron, Jeremy",6,6,3,9,2,,,3.0,,1.0,,3.0,,3.0,,4.0,5.0,2.0,2.0,2.0,,3.0,92.0
3,"Coniglio, Stephen",22,9,5,27,1,2.0,,1.0,2.0,4.0,2.0,3.0,,,,6.0,19.0,1.0,2.0,2.0,,,80.0
11,"Cornes, Chad",9,5,7,16,,1.0,,2.0,2.0,,,1.0,3.0,,,4.0,13.0,,,4.0,,,89.0
13,"Darley, Sam",9,5,2,11,,,,5.0,4.0,1.0,,1.0,,,,2.0,8.0,,,3.0,1.0,,87.0
1,"Davis, Phil",10,6,4,14,,,,,8.0,,,2.0,,2.0,,3.0,11.0,,,7.0,,,89.0
26,"Giles, Jonathan",8,,6,14,,,23.0,2.0,,3.0,5.0,2.0,1.0,1.0,,8.0,5.0,,,6.0,,,88.0
35,"Greene, Toby",9,3,11,20,,,,4.0,1.0,,3.0,5.0,4.0,2.0,,11.0,10.0,,,,,,85.0
19,"Haynes, Nick",6,3,2,8,,,,5.0,,3.0,,,2.0,,,2.0,6.0,,1.0,1.0,,2.0,83.0
38,"McDonald, James",7,1,5,12,,,,7.0,,1.0,4.0,2.0,2.0,2.0,,10.0,3.0,,,2.0,,,86.0
39,"Mohr, Tim",8,4,2,10,,,,1.0,2.0,1.0,,,1.0,,,2.0,8.0,,,5.0,,,97.0
27,"Phillips, Andrew",5,2,3,8,,,7.0,2.0,,2.0,,5.0,4.0,3.0,,6.0,2.0,1.0,,2.0,,,79.0
6,"Power, Luke",13,4,5,18,,,,2.0,1.0,,2.0,3.0,2.0,1.0,,8.0,9.0,,,,,,87.0
23,"Reid, Sam",4,2,6,10,,,,4.0,,,2.0,2.0,,1.0,,4.0,5.0,,,3.0,,,87.0
9,"Scully, Tom",9,1,11,20,,,,7.0,1.0,3.0,2.0,8.0,1.0,5.0,,7.0,13.0,,,,,2.0,87.0
5,"Shiel, Dylan",11,3,10,21,2,1.0,,5.0,2.0,5.0,3.0,2.0,,,,11.0,9.0,,,2.0,1.0,,84.0
34,"Smith, Devon",3,1,7,10,,1.0,,5.0,,1.0,,,2.0,,,4.0,8.0,,,,,,87.0
31 ↓,"Townsend, Jacob",5,1,1,6,,,,5.0,1.0,2.0,1.0,2.0,,1.0,,2.0,4.0,,,,,,34.0
17,"Treloar, Adam",10,3,4,14,2,,,4.0,,,,1.0,,,,5.0,8.0,,1.0,1.0,,,84.0
29 ↑,"Tyson, Dom",3,1,1,4,1,,,1.0,1.0,,,2.0,,1.0,,1.0,3.0,,,,1.0,,46.0
8,"Ward, Callan",14,6,9,23,1,1.0,1.0,5.0,1.0,4.0,4.0,2.0,1.0,1.0,,15.0,8.0,2.0,1.0,1.0,3.0,,87.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,184,72,118,302,9,7.0,31.0,79.0,28.0,35.0,33.0,50.0,25.0,26.0,,127.0,173.0,6.0,7.0,49.0,6.0,7.0,
Opposition,Opposition,230,129,146,376,19,12.0,41.0,65.0,25.0,49.0,34.0,52.0,26.0,25.0,6.0,144.0,241.0,20.0,20.0,38.0,12.0,10.0,
