Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
31,"Ball, Matthew",10,4.0,3.0,13,1.0,,,1.0,,2.0,4.0,1.0,1.0,,,7.0,7,,1.0,2.0,,,90.0
20,"Beaumont, Simon",11,7.0,1.0,12,,,,3.0,5.0,1.0,,1.0,2.0,1.0,,4.0,8,1.0,,6.0,1.0,,69.0
30,"Brown, Campbell",14,9.0,3.0,17,1.0,,2.0,4.0,3.0,4.0,,4.0,,2.0,,2.0,15,1.0,1.0,3.0,1.0,1.0,94.0
35,"Cox, Adrian",2,2.0,4.0,6,,,,2.0,,,1.0,1.0,,,,2.0,3,,,1.0,,,49.0
9,"Crawford, Shane",18,11.0,4.0,22,,,,3.0,7.0,2.0,,2.0,2.0,,,4.0,17,2.0,,4.0,5.0,,100.0
24,"Croad, Trent",10,7.0,4.0,14,,2.0,1.0,2.0,,4.0,,3.0,,1.0,,1.0,13,,2.0,5.0,,,100.0
19,"Dixon, Ben",1,,1.0,2,,,,1.0,,,,,,,,1.0,1,,,1.0,,,44.0
1,"Everitt, Peter",16,13.0,7.0,23,2.0,,25.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,8.0,15,,2.0,3.0,3.0,,98.0
34,"Graham, Mark",6,5.0,6.0,12,,,,5.0,3.0,,2.0,2.0,1.0,1.0,,6.0,5,1.0,,10.0,,,100.0
2,"Holland, Nick",7,6.0,,7,1.0,,,,,2.0,,4.0,1.0,2.0,,2.0,5,1.0,2.0,,,1.0,92.0
37,"Lekkas, Angelo",11,4.0,5.0,16,1.0,1.0,,,,4.0,2.0,1.0,1.0,1.0,,6.0,7,1.0,1.0,1.0,,,95.0
12,"Lonie, Nathan",11,2.0,3.0,14,1.0,,3.0,2.0,3.0,4.0,3.0,2.0,3.0,,,6.0,8,,,2.0,,,88.0
7,"McCabe, Luke",9,4.0,6.0,15,,,,3.0,2.0,2.0,1.0,1.0,,1.0,,5.0,10,,,,,1.0,100.0
5,"Mitchell, Sam",10,1.0,9.0,19,,,,1.0,2.0,3.0,8.0,3.0,3.0,2.0,,15.0,6,,,6.0,,2.0,83.0
40,"Osborne, Michael",6,4.0,,6,,,,,1.0,2.0,,3.0,,,,3.0,3,2.0,,,,1.0,29.0
13,"Picioane, Lance",1,1.0,,1,,,,1.0,,,,,,,,,1,,,1.0,,,14.0
16,"Ries, Nick",12,6.0,6.0,18,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,6.0,12,,1.0,1.0,1.0,2.0,91.0
11,"Smith, Joel",9,3.0,2.0,11,,,,1.0,5.0,4.0,,2.0,,1.0,,2.0,7,,,1.0,,,100.0
4,"Tallis, Rayden",6,6.0,7.0,13,,,,2.0,,2.0,2.0,,,,,5.0,9,,2.0,4.0,,1.0,77.0
23,"Thompson, Nathan",5,3.0,4.0,9,,1.0,5.0,2.0,1.0,1.0,,3.0,1.0,2.0,,3.0,6,,,4.0,1.0,,88.0
21,"Vandenberg, Richard",14,3.0,5.0,19,,,,5.0,4.0,5.0,3.0,6.0,3.0,3.0,,13.0,9,,,2.0,,,100.0
6,"Williams, Mark",7,6.0,1.0,8,5.0,1.0,,1.0,,,,1.0,,1.0,,1.0,7,1.0,6.0,1.0,1.0,,100.0
Totals,Totals,196,107.0,81.0,277,13.0,5.0,36.0,41.0,38.0,47.0,32.0,42.0,20.0,20.0,2.0,102.0,174,10.0,18.0,58.0,13.0,9.0,
Opposition,Opposition,194,82.0,107.0,301,12.0,12.0,34.0,38.0,34.0,50.0,40.0,36.0,20.0,20.0,4.0,129.0,168,12.0,10.0,43.0,15.0,7.0,
