West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game],West Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
37,"Barrass, Tom",5,5,5,10,,,,,1.0,,,2.0,1.0,1.0,,6.0,6.0,1.0,,14.0,,,100.0
33,"Bazzo, Rhett",6,1,2,8,,,,3.0,2.0,,,3.0,1.0,,,2.0,5.0,,,1.0,,,85.0
39 ↑,"Clark, Greg",1,,,1,,,,,,,,2.0,,1.0,,1.0,1.0,,,2.0,,,21.0
27,"Darling, Jack",8,5,4,12,1,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,4.0,8.0,,1.0,3.0,,,100.0
14,"Duggan, Liam",19,8,3,22,,,,3.0,8.0,1.0,1.0,3.0,2.0,1.0,,5.0,15.0,,,2.0,1.0,,82.0
42,"Edwards, Harry",8,8,2,10,,,,2.0,2.0,,,3.0,,2.0,,4.0,7.0,2.0,,3.0,,,96.0
29,"Foley, Luke",5,2,3,8,1,,,3.0,,2.0,,,1.0,,,5.0,3.0,,,1.0,,1.0,84.0
3,"Gaff, Andrew",20,8,10,30,,,,1.0,5.0,5.0,5.0,5.0,1.0,,,14.0,16.0,,,1.0,,,86.0
19,"Hough, Brady",8,3,3,11,,,,1.0,1.0,2.0,,3.0,,,,3.0,8.0,1.0,,,,,85.0
25,"Hurn, Shannon",27,10,1,28,,,,2.0,12.0,2.0,,2.0,1.0,1.0,,5.0,14.0,2.0,,1.0,,,84.0
31,"Jones, Jamaine",10,5,7,17,,1.0,,,4.0,4.0,,6.0,,3.0,,4.0,15.0,,,2.0,,1.0,78.0
11,"Kelly, Tim",12,5,9,21,,1.0,,3.0,4.0,5.0,2.0,8.0,1.0,3.0,,10.0,11.0,,,3.0,,1.0,83.0
17,"Kennedy, Josh",7,3,1,8,2,1.0,,2.0,,1.0,,1.0,2.0,,,6.0,2.0,1.0,2.0,1.0,,,93.0
9,"Naitanui, Nic",3,3,4,7,,,26.0,2.0,,2.0,4.0,1.0,,1.0,,6.0,1.0,2.0,,3.0,,,64.0
10,"Petrevski-Seton, Sam",8,4,7,15,,,,4.0,3.0,,,4.0,3.0,1.0,,6.0,8.0,,,1.0,,,75.0
21 ↓,"Petruccelle, Jack",5,2,3,8,,,,4.0,,,,,,,,5.0,3.0,1.0,,,,,50.0
8,"Redden, Jack",9,6,9,18,,,,5.0,3.0,3.0,5.0,,1.0,,,7.0,9.0,,,1.0,,1.0,83.0
44,"Rioli, Willie",6,3,4,10,1,,,5.0,1.0,2.0,2.0,1.0,,,,5.0,5.0,,1.0,,1.0,,81.0
1,"Ryan, Liam",3,2,,3,,,,,,,,2.0,,2.0,,2.0,1.0,1.0,,,,,76.0
13,"Shuey, Luke",14,3,8,22,,,,6.0,1.0,3.0,3.0,9.0,2.0,3.0,,5.0,18.0,,,1.0,,,68.0
26,"Trew, Zane",5,,2,7,,,,2.0,1.0,1.0,3.0,,,,,5.0,2.0,,,,,,71.0
2,"Waterman, Jake",7,3,4,11,2,,,,,,1.0,1.0,2.0,,,2.0,7.0,,1.0,,,,89.0
32,"Williams, Bailey",6,1,5,11,1,,17.0,1.0,3.0,,6.0,,2.0,,,9.0,2.0,,1.0,4.0,,,67.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,1.0,,,,,,,,,,,,,,,,,
Totals,Totals,202,90,96,298,8,5.0,43.0,50.0,52.0,34.0,32.0,57.0,22.0,20.0,,121.0,167.0,11.0,6.0,44.0,2.0,4.0,
Opposition,Opposition,244,113,124,368,17,14.0,24.0,59.0,25.0,69.0,46.0,57.0,20.0,22.0,6.0,143.0,233.0,14.0,18.0,55.0,10.0,7.0,
