Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
15,"Abraham, Winston",25y 305d,105 (66-0-39 62.86%),154 (1.47),67 (48-0-19 71.64%),99 (1.48)
11,"Archer, Glenn",27y 128d,175 (115-0-60 65.71%),106 (0.61),←,
26,"Bell, Peter",24y 151d,121 (82-0-39 67.77%),118 (0.98),119 (82-0-37 68.91%),116 (0.97)
12,"Blakey, John",34y 6d,320 (174-0-146 54.38%),104 (0.32),185 (122-0-63 65.95%),66 (0.36)
22,"Burton, Matthew",30y 72d,89 (33-0-56 37.08%),41 (0.46),19 (11-0-8 57.89%),9 (0.47)
16,"Capuano, Mathew",24y 332d,78 (58-0-20 74.36%),22 (0.28),←,
18,"Carey, Wayne",29y 64d,226 (143-0-83 63.27%),626 (2.77),←,
23,"Clayton, Shane",21y 280d,64 (35-0-29 54.69%),19 (0.30),46 (33-0-13 71.74%),18 (0.39)
45,"Cochrane, Stuart",22y 10d,8 (4-0-4 50.00%),,←,
2,"Colbert, Leigh",25y 53d,114 (68-1-45 60.09%),56 (0.49),9 (6-0-3 66.67%),6 (0.67)
6,"Grant, Shannon",23y 102d,128 (82-1-45 64.45%),143 (1.12),70 (50-0-20 71.43%),105 (1.50)
29,"Harvey, Brent",22y 77d,85 (59-0-26 69.41%),99 (1.16),←,
34,"King, David",28y 145d,153 (103-0-50 67.32%),59 (0.39),←,
27,"Lange, Adam",21y 200d,24 (15-0-9 62.50%),21 (0.88),←,
35,"Makepeace, Troy",21y 146d,18 (12-0-6 66.67%),5 (0.28),←,
5,"McCartney, Jason",26y 138d,141 (81-0-60 57.45%),52 (0.37),66 (47-0-19 71.21%),4 (0.06)
31,"McKernan, Corey",26y 224d,157 (109-0-48 69.43%),191 (1.22),←,
44,"Motlop, Shannon",21y 347d,24 (17-0-7 70.83%),18 (0.75),←,
28,"Pickett, Byron",22y 354d,72 (51-0-21 70.83%),3 (0.04),←,
7,"Simpson, Adam",24y 165d,111 (80-0-31 72.07%),40 (0.36),←,
30,"Stephens, Brad",21y 19d,2 (0-0-2 0.00%),,←,
10,"Stevens, Anthony",29y 28d,214 (134-0-80 62.62%),100 (0.47),←,
Totals,Totals,25y 69d,2429 (1521-2-906 62.62%),1977 (0.81),,
C,"Pagan, Denis",52y 310d,191 (127-0-64 66.49%),,←,
