Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game],Footscray Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
23,"Atkins, Simon",11,4,13.0,24,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,
35,"Baxter, Darren",11,4,4.0,15,,,,,,,,,1.0,3.0,,,,,,,,,
18,"Cameron, Leon",12,5,9.0,21,,,,,,,,,1.0,,,,,,,,,,
20,"Coleman, Glenn",8,3,1.0,9,4.0,1.0,,1.0,,,,,1.0,5.0,,,,,,,,,
26,"Del-Re, Danny",4,2,1.0,5,1.0,1.0,,,,,,,1.0,,,,,,,,,,
12,"Eppelstun, Greg",6,1,4.0,10,,,,1.0,,,,,1.0,,,,,,,,,,
32,"Foster, Peter",18,12,9.0,27,,,,2.0,,,,,5.0,4.0,,,,,,,,,
29,"Grant, Chris",12,5,,12,6.0,3.0,,2.0,,,,,1.0,1.0,,,,,,,,,
30,"Harrington, Tim",10,4,5.0,15,,,,1.0,,,,,1.0,1.0,,,,,,,,,
7,"Hawkins, Doug",12,3,5.0,17,2.0,1.0,1.0,3.0,,,,,3.0,,,,,,,,,,
21,"Kolyniuk, Steven",18,3,5.0,23,,,,2.0,,,,,,3.0,,,,,,,,,
39,"Liberatore, Tony",11,3,26.0,37,,1.0,,4.0,,,,,,1.0,2.0,,,,,,,,
11,"McGuinness, Tony",28,7,9.0,37,,,,,,,,,3.0,1.0,3.0,,,,,,,,
40,"Moloney, Troy",10,1,5.0,15,,,,,,,,,,1.0,,,,,,,,,
14,"Reynolds, Keenan",4,1,2.0,6,,,,,,,,,,1.0,,,,,,,,,
33,"Royal, Brian",16,3,9.0,25,3.0,,,1.0,,,,,,1.0,,,,,,,,,
13,"Svilar, Michael",5,1,5.0,10,,,,1.0,,,,,,,,,,,,,,,
16,"Wallace, Terry",17,4,24.0,41,,,,2.0,,,,,2.0,1.0,1.0,,,,,,,,
6,"Wigney, Stuart",10,8,4.0,14,2.0,3.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,
15,"Wynd, Scott",3,2,5.0,8,,,17.0,2.0,,,,,2.0,1.0,,,,,,,,,
Totals,Totals,226,76,145.0,371,19.0,11.0,19.0,24.0,,,,,23.0,26.0,6.0,,,,,,,,
Opposition,Opposition,203,68,96.0,299,8.0,8.0,12.0,18.0,,,,,26.0,23.0,,,,,,,,,
