Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details,Greater Western Sydney Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),GWS Games (W-D-L W%),GWS Goals (Ave.)
18,"Cameron, Jeremy",24y 42d,101 (38-0-63 37.62%),264 (2.61),←,
3,"Coniglio, Stephen",23y 149d,87 (36-0-51 41.38%),34 (0.39),←,
35,"Corr, Aidan",22y 361d,42 (15-0-27 35.71%),1 (0.02),←,
1,"Davis, Phil",26y 256d,104 (46-0-58 44.23%),6 (0.06),86 (35-0-51 40.70%),5 (0.06)
27,"Himmelberg, Harry",21y 5d,6 (5-0-1 83.33%),,←,
17,"Johnson, Steve",33y 313d,282 (199-3-80 71.10%),503 (1.78),29 (21-0-8 72.41%),51 (1.76)
22,"Kelly, Josh",22y 90d,68 (36-0-32 52.94%),39 (0.57),←,
38,"Lloyd, Daniel",25y 84d,1 (1-0-0 100.00%),1 (1.00),←,
37,"Lobb, Rory",24y 93d,43 (26-0-17 60.47%),47 (1.09),←,
41,"Mumford, Shane",30y 312d,159 (104-2-53 66.04%),48 (0.30),59 (35-0-24 59.32%),9 (0.15)
12,"Patton, Jonathon",23y 358d,61 (28-0-33 45.90%),89 (1.46),←,
50,"Reid, Sam",27y 187d,36 (18-0-18 50.00%),16 (0.44),26 (12-0-14 46.15%),15 (0.58)
9,"Scully, Tom",25y 363d,135 (52-1-82 38.89%),61 (0.45),104 (39-0-65 37.50%),55 (0.53)
23,"Shaw, Heath",31y 167d,245 (150-2-93 61.63%),39 (0.16),72 (40-0-32 55.56%),2 (0.03)
5,"Shiel, Dylan",24y 65d,95 (37-0-58 38.95%),49 (0.52),←,
10,"Smith, Devon",23y 358d,101 (35-0-66 34.65%),94 (0.93),←,
14,"Taranto, Tim",19y 105d,7 (5-0-2 71.43%),1 (0.14),←,
20,"Tomlinson, Adam",23y 276d,75 (24-0-51 32.00%),19 (0.25),←,
8,"Ward, Callan",27y 33d,175 (74-0-101 42.29%),87 (0.50),115 (42-0-73 36.52%),54 (0.47)
6,"Whitfield, Lachie",22y 299d,73 (29-0-44 39.73%),33 (0.45),←,
29,"Williams, Zac",22y 235d,61 (30-0-31 49.18%),14 (0.23),←,
16,"Wilson, Nathan",24y 126d,60 (31-0-29 51.67%),14 (0.23),←,
Totals,Totals,25y 28d,2017 (1019-8-990 50.52%),1459 (0.72),,
C,"Cameron, Leon",44y 253d,76 (40-0-36 52.63%),,←,
