Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
11,"Archer, Glenn",33y 57d,281 (166-0-115 59.07%),139 (0.49),←,
16,"Brown, Leigh",24y 86d,137 (55-1-81 40.51%),52 (0.38),74 (36-1-37 49.32%),32 (0.43)
38,"Gibson, Josh",22y 68d,6 (2-0-4 33.33%),,←,
6,"Grant, Shannon",29y 31d,245 (137-2-106 56.33%),279 (1.14),187 (105-1-81 56.42%),241 (1.29)
15,"Green, Kasey",26y 252d,62 (23-1-38 37.90%),13 (0.21),8 (2-0-6 25.00%),5 (0.63)
31,"Hale, David",21y 363d,45 (19-0-26 42.22%),20 (0.44),←,
39,"Harding, Leigh",25y 24d,78 (39-1-38 50.64%),113 (1.45),←,
4,"Harris, Daniel",24y 10d,77 (38-1-38 50.00%),26 (0.34),←,
29,"Harvey, Brent",28y 6d,202 (115-1-86 57.18%),236 (1.17),←,
2,"Hay, Jonathan",26y 280d,156 (67-1-88 43.27%),12 (0.08),7 (2-0-5 28.57%),
21,"Jones, Corey",25y 83d,89 (41-0-48 46.07%),108 (1.21),←,
1,"McIntosh, Hamish",21y 258d,7 (2-0-5 28.57%),4 (0.57),←,
37,"Perry, Joel",20y 336d,7 (1-0-6 14.29%),,←,
20,"Petrie, Drew",23y 217d,92 (44-1-47 48.37%),71 (0.77),←,
30,"Pratt, Daniel",23y 60d,27 (13-0-14 48.15%),2 (0.07),24 (12-0-12 50.00%),1 (0.04)
3,"Rawlings, Brady",24y 344d,119 (62-0-57 52.10%),49 (0.41),←,
7,"Simpson, Adam",30y 93d,231 (136-1-94 59.09%),68 (0.29),←,
9,"Sinclair, Jess",27y 267d,147 (56-1-90 38.44%),58 (0.39),97 (43-1-53 44.85%),32 (0.33)
19,"Swallow, Andrew",18y 352d,1 (0-0-1 0.00%),,←,
23,"Thompson, Nathan",28y 95d,150 (70-1-79 47.00%),260 (1.73),31 (15-0-16 48.39%),68 (2.19)
36,"Watt, Shannon",25y 175d,94 (48-1-45 51.60%),4 (0.04),←,
8,"Wells, Daniel",21y 106d,70 (35-1-34 50.71%),43 (0.61),←,
Totals,Totals,25y 46d,2323 (1169-14-1140 50.32%),1557 (0.67),,
C,"Laidley, Dani",39y 54d,75 (36-1-38 48.67%),,←,
