Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details,Kangaroos Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Kangaroos Games (W-D-L W%),Kangaroos Goals (Ave.)
27,"Baird, John",23y 298d,36 (19-1-16 54.17%),6 (0.17),←,
16,"Brown, Leigh",22y 41d,87 (32-1-54 37.36%),37 (0.43),24 (13-1-10 56.25%),17 (0.71)
25,"Clayton, Jeremy",23y 55d,6 (4-0-2 66.67%),5 (0.83),←,
2,"Colbert, Leigh",28y 302d,172 (99-2-71 58.14%),63 (0.37),67 (37-1-29 55.97%),13 (0.19)
24,"Firrito, Michael",20y 129d,4 (3-0-1 75.00%),1 (0.25),←,
6,"Grant, Shannon",26y 351d,194 (114-2-78 59.28%),215 (1.11),136 (82-1-53 60.66%),177 (1.30)
4,"Harris, Daniel",21y 330d,28 (15-1-12 55.36%),7 (0.25),←,
29,"Harvey, Brent",25y 326d,152 (93-1-58 61.51%),179 (1.18),←,
21,"Jones, Corey",23y 38d,40 (19-0-21 47.50%),43 (1.08),←,
34,"King, David",32y 28d,221 (137-1-83 62.22%),138 (0.62),←,
35,"Makepeace, Troy",25y 29d,86 (45-1-40 52.91%),20 (0.23),←,
5,"McKernan, Corey",30y 107d,225 (127-0-98 56.44%),295 (1.31),184 (121-0-63 65.76%),235 (1.28)
19,"Motlop, Daniel",22y 19d,24 (9-1-14 39.58%),21 (0.88),←,
20,"Petrie, Drew",21y 172d,43 (21-1-21 50.00%),39 (0.91),←,
17,"Porter, Mark",27y 176d,97 (50-1-46 52.06%),20 (0.21),42 (22-1-19 53.57%),7 (0.17)
3,"Rawlings, Brady",22y 299d,72 (43-0-29 59.72%),28 (0.39),←,
32,"Sansbury, Eddie",20y 130d,2 (2-0-0 100.00%),,←,
7,"Simpson, Adam",28y 48d,182 (115-1-66 63.46%),63 (0.35),←,
10,"Stevens, Anthony",32y 277d,274 (165-1-108 60.40%),123 (0.45),←,
12,"Stevens, Michael",23y 149d,23 (12-0-11 52.17%),4 (0.17),6 (4-0-2 66.67%),1 (0.17)
36,"Watt, Shannon",23y 130d,50 (26-1-23 53.00%),4 (0.08),←,
8,"Wells, Daniel",19y 61d,20 (12-1-7 62.50%),12 (0.60),←,
Totals,Totals,24y 275d,2038 (1162-17-859 57.02%),1323 (0.65),,
C,"Laidley, Dani",37y 8d,24 (13-1-10 56.25%),,←,
