Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
30,"Atkins, Tom",26y 322d,77 (54-0-23 70.13%),13 (0.17),←,
24,"Bews, Jed",28y 235d,146 (92-2-52 63.70%),16 (0.11),←,
5,"Cameron, Jeremy",29y 127d,206 (103-3-100 50.73%),522 (2.53),35 (26-0-9 74.29%),95 (2.71)
15,"Ceglar, Jonathon",31y 173d,103 (65-1-37 63.59%),43 (0.42),2 (2-0-0 100.00%),
45,"Close, Brad",24y 7d,50 (37-0-13 74.00%),37 (0.74),←,
40,"Dahlhaus, Luke",29y 350d,225 (118-0-107 52.44%),141 (0.63),71 (48-0-23 67.61%),31 (0.44)
16,"De Koning, Sam",21y 161d,19 (16-0-3 84.21%),,←,
22,"Duncan, Mitch",31y 57d,255 (183-1-71 71.96%),174 (0.68),←,
29,"Guthrie, Cameron",29y 352d,225 (150-2-73 67.11%),71 (0.32),←,
39,"Guthrie, Zach",24y 37d,49 (33-1-15 68.37%),6 (0.12),←,
26,"Hawkins, Tom",34y 16d,322 (230-2-90 71.74%),719 (2.23),←,
38,"Henry, Jack",23y 342d,102 (69-0-33 67.65%),19 (0.19),←,
9,"Holmes, Max",19y 342d,26 (19-0-7 73.08%),10 (0.38),←,
8,"Kolodjashnij, Jake",26y 362d,150 (100-2-48 67.33%),3 (0.02),←,
27,"Menegola, Sam",30y 152d,115 (76-1-38 66.52%),80 (0.70),←,
32,"Miers, Gryan",23y 129d,78 (54-0-24 69.23%),67 (0.86),←,
42,"OConnor, Mark",25y 201d,82 (56-0-26 68.29%),4 (0.05),←,
3,"Parfitt, Brandan",24y 101d,109 (77-0-32 70.64%),43 (0.39),←,
7,"Smith, Isaac",33y 219d,254 (177-1-76 69.88%),191 (0.75),44 (33-0-11 75.00%),26 (0.59)
1,"Stanley, Rhys",31y 248d,179 (102-1-76 57.26%),105 (0.59),121 (81-1-39 67.36%),65 (0.54)
18,"Stengle, Tyson",23y 291d,36 (21-0-15 58.33%),54 (1.50),20 (16-0-4 80.00%),39 (1.95)
44,"Stewart, Tom",29y 144d,121 (82-0-39 67.77%),3 (0.02),←,
2,"Tuohy, Zach",32y 239d,245 (131-2-112 53.88%),85 (0.35),125 (83-1-41 66.80%),45 (0.36)
Totals,Totals,27y 248d,3174 (2045-19-1110 64.43%),2406 (0.76),,
C,"Scott, Chris",46y 95d,281 (195-2-84 69.75%),,←,
