Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details,Adelaide Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Adelaide Games (W-D-L W%),Adelaide Goals (Ave.)
26,"Bickley, Mark",27y 293d,127 (58-0-69 45.67%),37 (0.29),←,
44,"Caven, Peter",27y 8d,83 (32-0-51 38.55%),39 (0.47),26 (11-0-15 42.31%),18 (0.69)
9,"Edwards, Tyson",20y 291d,38 (17-0-21 44.74%),11 (0.29),←,
34,"Hart, Ben",22y 319d,116 (53-1-62 46.12%),24 (0.21),←,
11,"James, Brett",24y 160d,51 (22-1-28 44.12%),28 (0.55),9 (5-0-4 55.56%),2 (0.22)
35,"Jameson, Rod",26y 328d,116 (56-1-59 48.71%),86 (0.74),←,
3,"Jarman, Darren",30y 116d,135 (78-0-57 57.78%),176 (1.30),26 (13-0-13 50.00%),54 (2.08)
28,"Johnson, Kane",19y 70d,11 (6-0-5 54.55%),3 (0.27),←,
5,"Koster, Kym",24y 112d,54 (30-1-23 56.48%),20 (0.37),16 (10-0-6 62.50%),7 (0.44)
27,"Liptak, Matthew",27y 24d,106 (52-1-53 49.53%),120 (1.13),←,
23,"McLeod, Andrew",20y 293d,43 (19-0-24 44.19%),43 (1.00),←,
6,"Modra, Tony",28y 84d,94 (40-1-53 43.09%),383 (4.07),←,
21,"Ormond-Allen, Trent",20y 347d,16 (8-0-8 50.00%),1 (0.06),8 (4-0-4 50.00%),
15,"Pittman, David",28y 90d,82 (36-1-45 44.51%),21 (0.26),←,
52,"Rehn, Shaun",25y 280d,75 (39-1-35 52.67%),26 (0.35),←,
32,"Ricciuto, Mark",21y 350d,92 (40-1-51 44.02%),57 (0.62),←,
10,"Robran, Matthew",26y 66d,51 (24-0-27 47.06%),43 (0.84),44 (20-0-24 45.45%),38 (0.86)
7,"Smart, Nigel",28y 3d,129 (59-1-69 46.12%),66 (0.51),←,
16,"Standfield, Barry",27y 100d,107 (58-1-48 54.67%),59 (0.55),9 (5-0-4 55.56%),21 (2.33)
12,"Tregenza, Simon",26y 76d,94 (47-1-46 50.53%),15 (0.16),←,
30,"Vardy, Peter",21y 118d,16 (6-0-10 37.50%),11 (0.69),←,
Totals,Totals,25y 11d,1636 (780-12-844 47.68%),1269 (0.78),,
C,"Blight, Malcolm",47y 97d,170 (100-0-70 58.82%),,9 (5-0-4 55.56%),
