Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details,Fremantle Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Fremantle Games (W-D-L W%),Fremantle Goals (Ave.)
1,"Ballantyne, Hayden",30y 251d,152 (86-1-65 56.91%),232 (1.53),←,
41,"Banfield, Bailey",20y 26d,1 (0-0-1 0.00%),,←,
19,"Blakely, Connor",22y 22d,34 (11-0-23 32.35%),2 (0.06),←,
8,"Brayshaw, Andrew",18y 136d,1 (0-0-1 0.00%),,←,
7,"Fyfe, Nat",26y 187d,139 (80-1-58 57.91%),122 (0.88),←,
9,"Hill, Bradley",24y 258d,118 (82-0-36 69.49%),72 (0.61),23 (8-0-15 34.78%),14 (0.61)
37,"Johnson, Michael",33y 155d,232 (123-1-108 53.23%),65 (0.28),←,
22,"Kersten, Shane",25y 9d,58 (36-0-22 62.07%),65 (1.12),21 (8-0-13 38.10%),24 (1.14)
26,"Langdon, Ed",22y 51d,26 (8-0-18 30.77%),14 (0.54),←,
3,"Matera, Brandon",26y 13d,102 (31-1-70 30.88%),125 (1.23),1 (0-0-1 0.00%),1 (1.00)
23,"McCarthy, Cam",22y 357d,41 (19-0-22 46.34%),62 (1.51),20 (7-0-13 35.00%),26 (1.30)
16,"Mundy, David",32y 247d,273 (143-1-129 52.56%),110 (0.40),←,
27,"Neale, Lachie",24y 304d,114 (57-0-57 50.00%),57 (0.50),←,
25,"Pearce, Alex",22y 288d,22 (9-0-13 40.91%),3 (0.14),←,
6,"Pearce, Danyle",31y 351d,256 (118-2-136 46.48%),126 (0.49),102 (59-1-42 58.33%),50 (0.49)
38,"Ryan, Luke",22y 46d,12 (2-0-10 16.67%),,←,
31,"Sandilands, Aaron",35y 108d,255 (142-0-113 55.69%),93 (0.36),←,
33,"Sutcliffe, Cam",25y 305d,101 (58-1-42 57.92%),16 (0.16),←,
20,"Taberner, Matthew",24y 280d,54 (25-0-29 46.30%),53 (0.98),←,
18,"Tucker, Darcy",21y 60d,32 (9-0-23 28.13%),11 (0.34),←,
10,"Walters, Michael",27y 76d,112 (60-1-51 54.02%),200 (1.79),←,
14,"Wilson, Nathan",25y 76d,78 (40-2-36 52.56%),17 (0.22),1 (0-0-1 0.00%),1 (1.00)
Totals,Totals,25y 264d,2213 (1139-11-1063 51.47%),1445 (0.65),,
C,"Lyon, Ross",51y 136d,263 (155-5-103 59.89%),,142 (79-1-62 55.99%),
