Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
48,"Bishop, Matthew",22y 345d,8 (4-0-4 50.00%),3 (0.38),←,
40,"Bradly, Mark",21y 148d,2 (0-0-2 0.00%),,←,
20,"Febey, Matthew",28y 306d,112 (49-0-63 43.75%),29 (0.26),←,
21,"Febey, Steven",28y 306d,193 (97-0-96 50.26%),28 (0.15),←,
4,"Grgic, Brent",18y 256d,20 (7-0-13 35.00%),11 (0.55),←,
15,"Hopgood, Paul",24y 335d,94 (40-0-54 42.55%),9 (0.10),←,
27,"Ingerson, Anthony",28y 251d,90 (33-0-57 36.67%),40 (0.44),53 (17-0-36 32.08%),15 (0.28)
16,"Johnstone, Travis",17y 339d,11 (5-0-6 45.45%),11 (1.00),←,
36,"Leoncelli, Andrew",23y 339d,30 (10-0-20 33.33%),5 (0.17),←,
45,"Longmuir, Troy",19y 27d,4 (1-0-3 25.00%),1 (0.25),←,
3,"Lyon, Garry",30y 281d,214 (119-1-94 55.84%),399 (1.86),←,
35,"McDonald, Anthony",26y 8d,31 (9-0-22 29.03%),13 (0.42),←,
43,"Rigoni, Guy",23y 329d,13 (7-0-6 53.85%),2 (0.15),←,
10,"Seecamp, Marcus",25y 329d,112 (40-0-72 35.71%),15 (0.13),61 (22-0-39 36.07%),5 (0.08)
29,"Smith, Shaun",28y 364d,106 (48-1-57 45.75%),131 (1.24),59 (21-0-38 35.59%),93 (1.58)
39,"Smoker, Craig",20y 78d,13 (7-0-6 53.85%),12 (0.92),←,
11,"Stynes, Jim",32y 59d,254 (127-1-126 50.20%),130 (0.51),←,
12,"Viney, Todd",32y 83d,204 (96-1-107 47.30%),73 (0.36),←,
49,"Ward, Daniel",20y 347d,4 (1-0-3 25.00%),,←,
34,"White, Jeff",21y 122d,45 (20-0-25 44.44%),31 (0.69),13 (7-0-6 53.85%),13 (1.00)
22,"Woewodin, Shane",21y 344d,35 (11-0-24 31.43%),7 (0.20),←,
13,"Yze, Adem",20y 273d,60 (21-0-39 35.00%),25 (0.42),←,
Totals,Totals,24y 206d,1655 (752-4-899 45.44%),975 (0.59),,
C,"Daniher, Neale",37y 126d,13 (7-0-6 53.85%),,←,
