Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details,Hawthorn Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Hawthorn Games (W-D-L W%),Hawthorn Goals (Ave.)
37,"Anderson, Jed",21y 63d,7 (6-0-1 85.71%),4 (0.57),←,
22,"Breust, Luke",24y 146d,92 (76-0-16 82.61%),177 (1.92),←,
9,"Burgoyne, Shaun",32y 167d,270 (185-1-84 68.70%),235 (0.87),113 (88-1-24 78.32%),64 (0.57)
18,"Ceglar, Jonathon",24y 51d,18 (15-0-3 83.33%),9 (0.50),←,
8,"Duryea, Taylor",23y 347d,42 (35-0-7 83.33%),6 (0.14),←,
12,"Frawley, James",26y 198d,140 (35-1-104 25.36%),18 (0.13),1 (1-0-0 100.00%),
6,"Gibson, Josh",31y 24d,166 (105-2-59 63.86%),2 (0.01),101 (76-1-24 75.74%),
19,"Gunston, Jack",23y 172d,80 (59-0-21 73.75%),164 (2.05),66 (54-0-12 81.82%),144 (2.18)
10,"Hill, Bradley",21y 271d,52 (44-0-8 84.62%),31 (0.60),←,
15,"Hodge, Luke",30y 295d,251 (146-1-104 58.37%),167 (0.67),←,
17,"Lake, Brian",33y 38d,230 (119-2-109 52.17%),34 (0.15),33 (29-0-4 87.88%),2 (0.06)
29,"Langford, Will",22y 277d,21 (17-0-4 80.95%),9 (0.43),←,
3,"Lewis, Jordan",28y 347d,218 (136-1-81 62.61%),124 (0.57),←,
7,"McEvoy, Ben",25y 269d,105 (61-2-42 59.05%),35 (0.33),14 (10-0-4 71.43%),8 (0.57)
5,"Mitchell, Sam",32y 176d,262 (157-1-104 60.11%),62 (0.24),←,
28,"Puopolo, Paul",27y 125d,89 (73-0-16 82.02%),72 (0.81),←,
33,"Rioli, Cyril",25y 266d,134 (93-1-40 69.78%),180 (1.34),←,
2,"Roughead, Jarryd",28y 73d,208 (134-1-73 64.66%),444 (2.13),←,
26,"Shiels, Liam",23y 342d,103 (77-0-26 74.76%),30 (0.29),←,
16,"Smith, Isaac",26y 97d,87 (72-0-15 82.76%),79 (0.91),←,
24,"Stratton, Ben",26y 36d,93 (67-1-25 72.58%),1 (0.01),←,
4,"Suckling, Matt",26y 255d,78 (57-0-21 73.08%),36 (0.46),←,
Totals,Totals,26y 250d,2746 (1769-14-963 64.42%),1919 (0.70),,
C,"Clarkson, Alastair",46y 344d,234 (145-1-88 62.18%),,←,
