Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game],Hawthorn Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Bateman, Chance",13,4,10,23,,1.0,,,4.0,2.0,3.0,6.0,2.0,2.0,,5.0,18.0,,,,1.0,,74.0
35,"Birchall, Grant",8,4,7,15,,,,,1.0,4.0,1.0,2.0,,1.0,,4.0,12.0,,,2.0,,,59.0
20,"Boyle, Tim",4,4,2,6,,,,1.0,,2.0,,4.0,,3.0,,1.0,5.0,,,1.0,,1.0,77.0
30,"Brown, Campbell",7,4,4,11,,,,,1.0,2.0,1.0,5.0,,2.0,,3.0,8.0,,,2.0,1.0,,100.0
39,"Campbell, Robert",1,2,3,4,,,17.0,2.0,,,1.0,2.0,,1.0,,2.0,2.0,,,2.0,,,59.0
25,"Clarke, Tim",6,2,7,13,2,,,,,2.0,1.0,,1.0,,,4.0,9.0,,,2.0,,,88.0
9,"Crawford, Shane",11,7,11,22,2,,,2.0,,1.0,4.0,3.0,,1.0,,9.0,14.0,2.0,2.0,1.0,,,88.0
26,"Dawson, Zac",,,4,4,,,,5.0,,,,2.0,,2.0,,1.0,3.0,,,6.0,,,94.0
19,"Dixon, Ben",6,6,5,11,2,,,3.0,,3.0,,1.0,1.0,,,7.0,5.0,2.0,1.0,,,,91.0
1,"Everitt, Peter",8,,7,15,,,30.0,4.0,2.0,3.0,6.0,4.0,2.0,1.0,,9.0,6.0,,,,,1.0,75.0
18,"Guerra, Brent",6,4,8,14,,,,3.0,2.0,2.0,2.0,2.0,1.0,,,3.0,11.0,,,2.0,,,76.0
15,"Hodge, Luke",16,4,9,25,,,,8.0,4.0,1.0,5.0,2.0,4.0,1.0,,8.0,18.0,,,3.0,2.0,,100.0
8,"Jacobs, Danny",11,6,8,19,,,,1.0,9.0,,,1.0,1.0,,,5.0,13.0,,,3.0,,,94.0
22,"Kane, Ben",7,3,5,12,,,,1.0,1.0,4.0,1.0,3.0,1.0,,,3.0,10.0,,,1.0,,,64.0
4,"Ladson, Rick",11,5,4,15,,,,1.0,1.0,2.0,,3.0,,2.0,,2.0,9.0,,1.0,2.0,2.0,2.0,74.0
14,"Miller, Harry",9,4,3,12,,,,2.0,,2.0,1.0,1.0,,,,4.0,8.0,,,,,,66.0
5,"Mitchell, Sam",10,2,16,26,,,,5.0,2.0,5.0,8.0,6.0,1.0,5.0,,14.0,12.0,,,4.0,,2.0,89.0
2,"Roughead, Jarryd",6,4,6,12,1,1.0,,1.0,,,,1.0,,,,7.0,5.0,,2.0,,,1.0,85.0
12,"Sewell, Brad",7,4,5,12,,,,,1.0,,1.0,2.0,1.0,1.0,,3.0,8.0,,1.0,1.0,,,84.0
11,"Smith, Joel",12,8,8,20,,,,2.0,6.0,1.0,3.0,1.0,1.0,1.0,,7.0,13.0,1.0,,6.0,,,94.0
21,"Vandenberg, Richard",10,4,12,22,,,,4.0,1.0,3.0,6.0,2.0,1.0,1.0,,12.0,10.0,,,4.0,,,69.0
6,"Williams, Mark",8,7,,8,2,3.0,,,1.0,,1.0,1.0,1.0,,,1.0,7.0,,6.0,1.0,,,100.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,2.0,,,,,,,,,,,,,,,,,
Totals,Totals,177,88,144,321,9,7.0,47.0,45.0,36.0,39.0,45.0,54.0,18.0,24.0,,114.0,206.0,5.0,13.0,43.0,6.0,7.0,
Opposition,Opposition,218,118,97,315,20,16.0,40.0,57.0,31.0,54.0,38.0,45.0,24.0,18.0,6.0,124.0,191.0,14.0,28.0,52.0,14.0,11.0,
