Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details,Melbourne Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Melbourne Games (W-D-L W%),Melbourne Goals (Ave.)
19,"Bennett, Darren",27y 150d,69 (39-0-30 56.52%),198 (2.87),65 (38-0-27 58.46%),191 (2.94)
24,"Beveridge, Luke",21y 289d,42 (24-0-18 57.14%),41 (0.98),←,
15,"Bryce, Paul",23y 331d,70 (31-2-37 45.71%),26 (0.37),22 (9-1-12 43.18%),
44,"Charles, Sean",17y 20d,3 (1-0-2 33.33%),7 (2.33),←,
9,"Cuthbertson, Darren",22y 61d,22 (9-1-12 43.18%),33 (1.50),←,
23,"Dyson, Kevin",25y 34d,24 (13-0-11 54.17%),9 (0.38),←,
21,"Febey, Steven",22y 293d,83 (50-0-33 60.24%),13 (0.16),←,
33,"Healy, Greg",26y 265d,130 (65-1-64 50.38%),153 (1.18),←,
16,"Lovell, Andy",21y 315d,48 (23-1-24 48.96%),56 (1.17),←,
17,"Lovett, Brett",26y 18d,131 (78-1-52 59.92%),17 (0.13),←,
6,"Lovett, Glenn",22y 320d,36 (16-0-20 44.44%),14 (0.39),←,
29,"Obst, Andrew",27y 293d,42 (25-0-17 59.52%),15 (0.36),←,
35,"Pickering, Michael",28y 190d,147 (48-1-98 32.99%),170 (1.16),11 (2-1-8 22.73%),10 (0.91)
46,"Robins, Haydn",19y 303d,4 (1-0-3 25.00%),,←,
41,"Rohde, Peter",27y 201d,111 (69-1-41 62.61%),12 (0.11),65 (35-1-29 54.62%),6 (0.09)
5,"Schwarz, David",19y 319d,17 (4-1-12 26.47%),16 (0.94),←,
18,"Stretch, Steven",28y 154d,143 (81-1-61 56.99%),50 (0.35),←,
11,"Stynes, Jim",26y 45d,122 (73-1-48 60.25%),90 (0.74),←,
12,"Viney, Todd",26y 69d,87 (46-1-40 53.45%),43 (0.49),←,
8,"Yeats, Graeme",27y 260d,142 (79-1-62 55.99%),43 (0.30),←,
Totals,Totals,24y 178d,1473 (775-13-685 52.61%),1006 (0.68),,
C,"Northey, John",48y 344d,178 (91-1-86 51.40%),,156 (85-1-70 54.81%),
