Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
19,"Armstrong, Tony",14,1,7,21,,,,2.0,3.0,1.0,1.0,,1.0,,,5.0,15.0,,,2.0,,,76.0
14,"Bird, Craig",6,1,10,16,,1.0,,4.0,3.0,1.0,,,1.0,,,7.0,9.0,,,3.0,,2.0,84.0
24,"Bolton, Jude",7,5,10,17,1,1.0,,6.0,3.0,2.0,2.0,4.0,2.0,1.0,,8.0,9.0,,2.0,,,,77.0
37,"Goodes, Adam",15,7,4,19,2,1.0,,2.0,1.0,4.0,,4.0,,1.0,,5.0,11.0,,1.0,2.0,,1.0,94.0
39,"Grundy, Heath",6,1,14,20,,,,2.0,4.0,1.0,4.0,5.0,,1.0,,10.0,11.0,,,7.0,,,100.0
4,"Hannebery, Dan",6,2,9,15,,,,4.0,,1.0,1.0,1.0,,,,5.0,10.0,,,1.0,,,74.0
15,"Jack, Kieren",17,3,8,25,1,,,1.0,1.0,7.0,6.0,7.0,2.0,3.0,,11.0,14.0,,,1.0,,,81.0
32,"Jetta, Lewis",8,2,4,12,,,,5.0,1.0,4.0,,1.0,1.0,,,4.0,8.0,,,,1.0,1.0,87.0
34,"Johnson, Alex",6,6,11,17,,,,2.0,3.0,,1.0,1.0,,,,9.0,8.0,4.0,,4.0,1.0,,97.0
12,"Kennedy, Josh",14,5,10,24,1,2.0,,3.0,5.0,4.0,7.0,2.0,1.0,,,15.0,9.0,1.0,1.0,1.0,,,85.0
9,"Malceski, Nick",10,2,7,17,,,,3.0,4.0,2.0,,2.0,2.0,1.0,,4.0,12.0,,,4.0,1.0,,82.0
29,"Mattner, Martin",8,5,10,18,,,,6.0,6.0,,1.0,2.0,2.0,1.0,,7.0,10.0,,,2.0,,,93.0
21,"McGlynn, Ben",6,5,10,16,1,,,3.0,1.0,4.0,3.0,2.0,3.0,1.0,,6.0,12.0,,,3.0,2.0,1.0,84.0
3,"McVeigh, Jarrad",16,4,16,32,2,1.0,,2.0,4.0,4.0,2.0,,,,,7.0,25.0,,1.0,3.0,,,90.0
41,"Mumford, Shane",6,4,8,14,1,,29.0,6.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,10.0,6.0,1.0,,2.0,,,88.0
5,"OKeefe, Ryan",7,2,6,13,1,,,9.0,,2.0,2.0,3.0,1.0,2.0,,7.0,6.0,,,3.0,,,86.0
26 ↑,"Parker, Luke",2,1,7,9,,,,,,,,,,,,2.0,7.0,,,,,1.0,34.0
38,"Pyke, Mike",3,4,7,10,,,2.0,1.0,,1.0,,6.0,,5.0,,5.0,5.0,2.0,,2.0,,,67.0
25,"Richards, Ted",9,3,11,20,,,,1.0,6.0,1.0,,3.0,1.0,2.0,,9.0,11.0,2.0,,7.0,,,100.0
30,"Roberts-Thomson, Lewis",6,3,6,12,,,1.0,1.0,1.0,1.0,,2.0,,,,3.0,8.0,,,1.0,,,82.0
2,"Shaw, Rhyce",8,1,8,16,,,,3.0,4.0,,,1.0,,,,1.0,12.0,,,1.0,,1.0,87.0
17 ↓,"Walsh, Tommy",3,1,6,9,1,1.0,,2.0,,,,4.0,1.0,3.0,,5.0,4.0,,1.0,3.0,,1.0,53.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,5.0,,,,,,,,,,,,,,,,,
Totals,Totals,183,68,189,372,11,12.0,32.0,68.0,52.0,41.0,33.0,52.0,21.0,22.0,1.0,145.0,222.0,10.0,6.0,52.0,5.0,8.0,
Opposition,Opposition,228,100,133,361,17,10.0,40.0,89.0,27.0,71.0,37.0,52.0,22.0,20.0,5.0,165.0,197.0,20.0,18.0,42.0,6.0,12.0,
