Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game],Kangaroos Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
11,"Archer, Glenn",13,6,1,14,,,,2.0,2.0,,,4.0,,1.0,,1.0,13.0,,,4.0,,,93.0
16,"Brown, Leigh",5,3,4,9,,,1.0,1.0,1.0,1.0,,5.0,,3.0,,,9.0,,,2.0,,,91.0
38,"Gibson, Josh",6,1,5,11,,1.0,,1.0,1.0,2.0,2.0,2.0,,,,4.0,7.0,,,5.0,,,91.0
6,"Grant, Shannon",14,6,5,19,,,,1.0,2.0,6.0,2.0,4.0,1.0,,,4.0,16.0,,,,4.0,,84.0
15,"Green, Kasey",8,7,4,12,1,1.0,,2.0,1.0,3.0,,1.0,,1.0,,6.0,7.0,2.0,2.0,1.0,4.0,1.0,93.0
31,"Hale, David",6,5,2,8,,,4.0,3.0,,4.0,1.0,,1.0,,,4.0,5.0,,,1.0,,,75.0
4,"Harris, Daniel",11,3,10,21,,,,5.0,1.0,3.0,3.0,1.0,,,,9.0,10.0,,,1.0,,,84.0
29,"Harvey, Brent",17,4,10,27,1,,,1.0,4.0,2.0,2.0,1.0,1.0,,,7.0,17.0,,,3.0,1.0,1.0,85.0
22,"Jones, Chad",3,4,4,7,,,,,,1.0,,1.0,,,,1.0,6.0,,,3.0,,,63.0
21,"Jones, Corey",12,6,5,17,1,2.0,,2.0,,2.0,2.0,2.0,2.0,1.0,,6.0,10.0,,,1.0,,1.0,88.0
35,"Makepeace, Troy",8,7,4,12,,,,1.0,1.0,3.0,,,,,,3.0,9.0,1.0,,3.0,,,74.0
20,"Petrie, Drew",11,8,4,15,,,17.0,8.0,1.0,3.0,5.0,2.0,1.0,,,5.0,9.0,,,3.0,,,73.0
30,"Pratt, Daniel",11,4,5,16,,,,1.0,4.0,2.0,,2.0,1.0,1.0,,6.0,10.0,,,8.0,3.0,,91.0
3,"Rawlings, Brady",10,5,6,16,,,,2.0,1.0,2.0,,,1.0,,,3.0,14.0,,,1.0,1.0,,81.0
27,"Rawlings, Jade",7,9,5,12,1,1.0,,,1.0,,,2.0,1.0,1.0,,1.0,11.0,,2.0,1.0,,,71.0
32,"Sansbury, Eddie",5,3,7,12,,,,5.0,2.0,2.0,,2.0,1.0,1.0,,5.0,8.0,1.0,,,,,66.0
7,"Simpson, Adam",11,5,13,24,,,,6.0,1.0,5.0,8.0,1.0,1.0,1.0,,10.0,11.0,,1.0,3.0,,,87.0
9,"Sinclair, Jess",6,1,8,14,,,,5.0,5.0,1.0,3.0,3.0,1.0,2.0,,5.0,9.0,,,1.0,,,91.0
23,"Thompson, Nathan",12,8,1,13,5,4.0,,1.0,,2.0,,1.0,2.0,,2.0,7.0,6.0,3.0,7.0,,,,100.0
12,"Thurley, Cameron",1,1,4,5,,,,,,,,2.0,,,,2.0,3.0,,,,,,39.0
36,"Watt, Shannon",5,3,2,7,,,,2.0,3.0,1.0,,1.0,,,,,7.0,,,5.0,,,100.0
8,"Wells, Daniel",11,5,6,17,,,,5.0,6.0,4.0,2.0,1.0,1.0,,,4.0,13.0,,,5.0,3.0,1.0,82.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,4.0,,,,,,,,,,,,,,,,,
Totals,Totals,193,104,115,308,9,13.0,22.0,54.0,37.0,49.0,30.0,38.0,15.0,12.0,2.0,93.0,210.0,7.0,12.0,51.0,16.0,4.0,
Opposition,Opposition,240,131,138,378,15,12.0,19.0,40.0,44.0,48.0,22.0,37.0,12.0,15.0,4.0,117.0,262.0,3.0,14.0,48.0,25.0,7.0,
