Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game],Sydney Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
32,"Atkins, Paul",7,,10,17,,1.0,,3.0,,,,,1.0,2.0,,,,,,,,,
30,"Bayes, Mark",19,2.0,3,22,,,2.0,2.0,,,,,3.0,3.0,,,,,,,,,
13,"Brunton, Neil",11,4.0,4,15,,,,3.0,,,,,1.0,,,,,,,,,,
7,"Carroll, Dennis",7,2.0,9,16,,,,1.0,,,,,1.0,3.0,,,,,,,,,
28,"Cresswell, Daryn",8,1.0,2,10,,1.0,,,,,,,,,,,,,,,,,
40,"Dunkley, Andrew",5,4.0,9,14,,,,,,,,,3.0,,,,,,,,,,
48,"Gray, Troy",10,3.0,7,17,1.0,,,,,,,,1.0,3.0,,,,,,,,,
31,"Holmes, Darren",7,1.0,5,12,,1.0,,,,,,,2.0,2.0,,,,,,,,,
14,"Kelly, Paul",11,4.0,6,17,1.0,,,1.0,,,,,3.0,1.0,,,,,,,,,
3,"Lewis, Dale",14,6.0,4,18,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,
34,"Luff, Troy",11,7.0,6,17,,1.0,,2.0,,,,,1.0,2.0,,,,,,,,,
8,"Minton-Connell, Simon",14,7.0,2,16,3.0,5.0,,1.0,,,,,1.0,1.0,,,,,,,,,
10,"Mitchell, Barry",11,4.0,10,21,1.0,,,1.0,,,,,1.0,,,,,,,,,,
37,"Mooney, Jason",5,1.0,4,9,,,,,,,,,2.0,,,,,,,,,,
35,"Murphy, David",13,5.0,7,20,,,,1.0,,,,,2.0,2.0,,,,,,,,,
50,"Neill, Robert",4,,1,5,,,,1.0,,,,,,,,,,,,,,,
18,"Nettelbeck, Craig",10,7.0,3,13,1.0,1.0,,1.0,,,,,,2.0,,,,,,,,,
15,"Strooper, David",11,10.0,5,16,1.0,4.0,1.0,,,,,,1.0,2.0,,,,,,,,,
2,"Tunbridge, Brad",7,3.0,3,10,,1.0,7.0,,,,,,4.0,2.0,,,,,,,,,
26,"Wright, Stephen",5,3.0,9,14,,,,2.0,,,,,1.0,1.0,,,,,,,,,
Totals,Totals,190,74.0,109,299,9.0,16.0,10.0,19.0,,,,,30.0,27.0,,,,,,,,,
Opposition,Opposition,216,75.0,110,326,19.0,15.0,21.0,28.0,,,,,27.0,30.0,6.0,,,,,,,,
