Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game],Brisbane Bears Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
10,"Ashcroft, Marcus",8.0,5.0,3.0,11.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
36,"Bartlett, Trent",4.0,3.0,4.0,8.0,,1.0,,3.0,,,,,,,,,,,,,,,
25,"Bews, Andrew",11.0,7.0,7.0,18.0,,,,,,,,,,,,,,,,,,,
1,"Champion, Richard",13.0,4.0,,13.0,,,,,,,,,3.0,3.0,,,,,,,,,
5,"Chapman, Nathan",9.0,3.0,7.0,16.0,,,,4.0,,,,,3.0,3.0,,,,,,,,,
16,"Clarke, Matthew",2.0,2.0,3.0,5.0,,,12.0,,,,,,1.0,2.0,,,,,,,,,
6,"Fletcher, Adrian",6.0,7.0,16.0,22.0,1.0,1.0,,1.0,,,,,2.0,2.0,,,,,,,,,
8,"Gowers, Andrew",9.0,8.0,5.0,14.0,,,,,,,,,,2.0,,,,,,,,,
32,"Hart, Shaun",17.0,6.0,7.0,24.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,
41,"Kennedy, Matthew",5.0,,2.0,7.0,,,,,,,,,,,,,,,,,,,
18,"Lambert, Craig",11.0,2.0,14.0,25.0,1.0,,,,,,,,2.0,,,,,,,,,,
44,"Lappin, Nigel",7.0,,2.0,9.0,,3.0,,,,,,,,,,,,,,,,,
34,"Lawrence, Steven",,,,,,,,,,,,,,,,,,,,,,,
23,"Leppitsch, Justin",2.0,4.0,5.0,7.0,,,,1.0,,,,,,,,,,,,,,,
2,"McAdam, Gilbert",7.0,4.0,7.0,14.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,
19,"McLean, Michael",11.0,2.0,7.0,18.0,,,,3.0,,,,,2.0,2.0,1.0,,,,,,,,
4,"McRae, Craig",5.0,2.0,2.0,7.0,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,
24,"Merrett, Roger",9.0,4.0,2.0,11.0,5.0,,4.0,,,,,,1.0,1.0,,,,,,,,,
22,"Scott, Chris",12.0,6.0,4.0,16.0,,,,,,,,,,,,,,,,,,,
3,"Voss, Michael",19.0,6.0,7.0,26.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,
33,"White, Darryl",8.0,5.0,4.0,12.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,
Totals,Totals,175.0,80.0,108.0,283.0,15.0,8.0,17.0,19.0,,,,,19.0,21.0,1.0,,,,,,,,
Opposition,Opposition,193.0,74.0,125.0,318.0,15.0,21.0,25.0,42.0,,,,,21.0,19.0,5.0,,,,,,,,
