Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game],Gold Coast Match Statistics [Season][Game by Game]
#,Player,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P
9,"Ainsworth, Ben",9,6,4,13,,1.0,,,,2.0,,2.0,1.0,,,2.0,11.0,,3.0,,,2.0,83.0
15,"Anderson, Noah",16,9,9,25,,1.0,,1.0,3.0,6.0,8.0,3.0,1.0,,2.0,13.0,14.0,,,1.0,3.0,1.0,82.0
10,"Ballard, Charlie",12,9,2,14,,,,1.0,2.0,1.0,1.0,3.0,,1.0,,6.0,9.0,3.0,,9.0,,,95.0
16,"Berry, Tom",6,3,,6,,1.0,,3.0,,4.0,,,1.0,,,3.0,5.0,,1.0,3.0,,1.0,60.0
35,"Budarick, Connor",18,8,3,21,,,,1.0,5.0,,,3.0,,,,3.0,15.0,,,2.0,,,84.0
30,"Casboult, Levi",5,2,4,9,,,3.0,2.0,,1.0,,2.0,,2.0,,4.0,4.0,2.0,1.0,2.0,,1.0,86.0
25,"Collins, Sam",6,6,8,14,,,,1.0,,,1.0,1.0,,1.0,,8.0,7.0,,,15.0,,,95.0
4 ↓,"Ellis, Brandon",10,4,2,12,,,,3.0,,3.0,,3.0,,,,2.0,9.0,,,1.0,,,75.0
8,"Fiorini, Brayden",12,8,7,19,2,,,3.0,2.0,3.0,,1.0,,,,3.0,14.0,,,1.0,,,88.0
3,"Flanders, Sam",15,4,11,26,,,,3.0,1.0,7.0,2.0,3.0,1.0,,,9.0,18.0,,,3.0,,1.0,77.0
7,"Holman, Nick",8,4,5,13,1,1.0,,2.0,,4.0,,1.0,,,,7.0,6.0,,,1.0,,1.0,79.0
19,"Humphrey, Bailey",1,2,8,9,,,,2.0,,1.0,,4.0,,4.0,,5.0,6.0,,,2.0,,,75.0
34,"King, Ben",8,6,2,10,5,1.0,,,,,,1.0,2.0,,1.0,6.0,4.0,2.0,5.0,,,,88.0
13,"Lukosius, Jack",9,6,1,10,3,,3.0,1.0,1.0,3.0,1.0,2.0,,1.0,,4.0,7.0,1.0,2.0,3.0,,1.0,85.0
44 ↑,"Macpherson, Darcy",,,2,2,,,,1.0,,,,,,,,2.0,,,,,,,15.0
11,"Miller, Touk",18,6,10,28,,1.0,,4.0,3.0,7.0,2.0,3.0,1.0,,,7.0,21.0,,1.0,1.0,,1.0,82.0
27,"Powell, Wil",20,9,8,28,,,,1.0,4.0,3.0,,2.0,2.0,1.0,,4.0,20.0,,,2.0,2.0,,86.0
41,"Rosas, Malcolm",9,5,4,13,3,2.0,,1.0,,,,3.0,1.0,,,1.0,12.0,,5.0,1.0,,1.0,63.0
18,"Rowell, Matt",19,1,14,33,,,,5.0,3.0,3.0,20.0,5.0,4.0,,3.0,26.0,8.0,,,2.0,,,84.0
6,"Sexton, Alex",12,8,9,21,,,,1.0,2.0,2.0,1.0,5.0,1.0,1.0,,4.0,17.0,,,2.0,,,78.0
24,"Swallow, David",12,6,4,16,,,,1.0,2.0,5.0,,4.0,,2.0,,4.0,11.0,1.0,,2.0,,1.0,79.0
32,"Uwland, Bodhi",4,3,4,8,,,,,2.0,1.0,,2.0,,1.0,,4.0,5.0,,,5.0,,,82.0
28,"Witts, Jarrod",11,3,3,14,,1.0,22.0,2.0,,5.0,8.0,4.0,1.0,1.0,,12.0,2.0,2.0,,1.0,,,77.0
Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,Rushed,6.0,,,,,,,,,,,,,,,,,
Totals,Totals,240,118,124,364,14,15.0,28.0,39.0,30.0,61.0,44.0,57.0,16.0,15.0,6.0,139.0,225.0,11.0,18.0,59.0,5.0,11.0,
Opposition,Opposition,180,72,93,273,9,6.0,37.0,47.0,47.0,41.0,31.0,59.0,15.0,16.0,,113.0,143.0,10.0,8.0,43.0,4.0,5.0,
