Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details,Geelong Player Details
#,Player,Age,Career Games (W-D-L W%),Career Goals (Ave.),Geelong Games (W-D-L W%),Geelong Goals (Ave.)
24,"Bews, Jed",23y 143d,33 (18-1-14 56.06%),2 (0.06),←,
23,"Black, Aaron",26y 158d,53 (30-0-23 56.60%),68 (1.28),3 (1-0-2 33.33%),4 (1.33)
46,"Blicavs, Mark",26y 39d,97 (66-1-30 68.56%),27 (0.28),←,
5,"Cockatoo, Nakia",20y 195d,26 (17-1-8 67.31%),20 (0.77),←,
35,"Dangerfield, Patrick",27y 31d,185 (104-0-81 56.22%),197 (1.06),31 (23-0-8 74.19%),34 (1.10)
22,"Duncan, Mitch",25y 330d,142 (106-0-36 74.65%),111 (0.78),←,
29,"Guthrie, Cameron",24y 260d,113 (76-1-36 67.70%),36 (0.32),←,
26,"Hawkins, Tom",28y 289d,196 (146-1-49 74.74%),409 (2.09),←,
33,"Horlin-Smith, George",24y 135d,45 (31-1-13 70.00%),23 (0.51),←,
11,"Lang, Darcy",21y 166d,38 (22-1-15 59.21%),30 (0.79),←,
13,"Lonergan, Tom",32y 354d,193 (141-2-50 73.58%),55 (0.28),←,
4,"Mackie, Andrew",32y 272d,264 (197-1-66 74.81%),99 (0.38),←,
27,"Menegola, Sam",25y 60d,12 (9-0-3 75.00%),10 (0.83),←,
10,"Menzel, Daniel",25y 235d,47 (39-0-8 82.98%),86 (1.83),←,
32,"Motlop, Steven",26y 55d,119 (80-1-38 67.65%),163 (1.37),←,
21,"Murdoch, Jordan",25y 44d,77 (51-1-25 66.88%),54 (0.70),←,
34,"Parsons, James",20y 24d,3 (2-0-1 66.67%),2 (0.67),←,
14,"Selwood, Joel",28y 345d,235 (180-1-54 76.81%),141 (0.60),←,
1,"Stanley, Rhys",26y 156d,90 (43-0-47 47.78%),63 (0.70),32 (22-0-10 68.75%),23 (0.72)
7,"Taylor, Harry",30y 328d,211 (158-1-52 75.12%),47 (0.22),←,
40,"Thurlow, Jackson",23y 39d,35 (21-1-13 61.43%),8 (0.23),←,
2,"Tuohy, Zach",27y 147d,127 (53-1-73 42.13%),41 (0.32),7 (5-0-2 71.43%),1 (0.14)
Totals,Totals,26y 24d,2341 (1590-16-735 67.92%),1692 (0.72),,
C,"Scott, Chris",41y 3d,149 (107-1-41 72.15%),,←,
